,Amount of Calcium (Ca),Amount of Magnesium (Mg),Amount of Sodium (Na),Amount of Potassium (K),Total Amount (N+K) (mg/L),Ca Weight (%) (meq/L),Mg Weight (%) (meq/L),Na Weight (%) (meq/L),K Weight (%) (meq/L),Total Amount (Na+K %) (meq/L),Total Weight Amount (Ca + Mg+ Na+K %) (meq/L),Ca Relative Conc (meq%),Mg Relative Conc (meq%),Na+K Relative Conc (meq%),Amount of Chloride (Cl),Amount of Sulfate (SO4),Amount of Carbonate (CO3),Amount of Hydrogencarbonate (HCO3),Cl Weight (%) (meq/L),SO4 Weight (%) (meq/L),CO3 Weight (%) (meq/L),HCO3 Weight (%) (meq/L),Total Amount (CO3+HCO3 %) (meq/L),Total Weight Amount (Cl + SO4+ CO3+HCO3 %) (meq/L),Cl Relative Conc (meq%),SO4 Relative Conc (meq%),CO3 + HCO3 Relative Conc (meq%),ROWID,District LGD Code,Amount of Total Dissolved Solids (TDS),"Amount of Potential of Hydrogen (H+, pH)",Country,State LGD Code,State,District,Year,Surface Water Station,Surface Water Station Latitude,Surface Water Station Longitude,Month
0,18.84,8.57,32.6,0.9,33.5,0.9401666749837816,0.7052046903929233,1.4180078294910832,0.02301908025985984,1.441026909750943,3.0863982751276478,30.461612247528166,22.84879097023722,46.689596782234624,51.93,20.5,9.8,69.71,1.4648801128349787,0.42683434663113184,0.3266231169177443,1.1424872164678117,1.469110333385556,3.360824792851666,43.58692294673371,12.700285582842362,43.71279147042394,37751,502,108.0,8.3,India,28,Andhra Pradesh,Anantapur,2012,Tadipatri,14.25,78.0,2022-08-12
13,33.67,32.08,145.5,6.5,152.0,1.6802235640501022,2.6397860522526226,6.328838625489344,0.1662489129878766,6.495087538477221,10.815097154779945,15.535908184675847,24.40834339695152,60.05574841837264,127.15,97.951,0.0,301.32,3.5867418899858956,2.039456150578829,0.0,4.938376819194965,4.938376819194965,10.56457485975969,33.95065052402386,19.304668457100792,46.744681018875355,37902,504,505.0,8.12,India,28,Andhra Pradesh,Y.S.R.,2012,Alladupalli,14.25,78.66666667,2022-08-12
14,25.65,33.05,149.0,6.2,155.2,1.2800039922151802,2.7196050195433035,6.481078729882558,0.15857588623459,6.639654616117148,10.639263627875632,12.03094534532896,25.561966642294152,62.40708801237689,137.46,104.2,0.0,267.2,3.877574047954866,2.1695677521445824,0.0,4.379179231676937,4.379179231676937,10.426321031776386,37.190242235369034,20.808564646459406,42.00119311817156,37903,504,492.0,8.22,India,28,Andhra Pradesh,Y.S.R.,2012,Chennur,14.57388889,78.77166667,2022-08-12
15,24.05,28.19,120.0,4.7,124.7,1.200159688607216,2.319687307138449,5.219660722053067,0.12021075246815695,5.339871474521225,8.85971847026689,13.546250850237934,26.18240427078233,60.27134487897974,96.22,21.968,0.0,380.91,2.714245416078984,0.457399850087449,0.0,6.242788776714305,6.242788776714305,9.414434042880739,28.83068067306197,4.8584954550012265,66.3108238719368,37905,504,418.0,7.97,India,28,Andhra Pradesh,Y.S.R.,2012,Nandipalli,14.71527778,79.01777778,2022-08-12
29,58.1,19.04,118.0,3.1,121.1,2.8993462747642096,1.566755811561407,5.132666376685516,0.079287943117295,5.211954319802811,9.678056406128427,29.95793941568949,16.18874436988497,53.853316214425554,147.59,96.78,0.0,239.02,4.163328631875881,2.0150745398517533,0.0,3.9173331585157993,3.9173331585157993,10.095736330243433,41.23848420450471,19.959658948453985,38.80185684704132,37947,504,513.0,7.72,India,28,Andhra Pradesh,Y.S.R.,2012,Alladupalli,14.25,78.66666667,2022-12-12
30,50.25,17.14,123.5,3.5,127.0,2.507610160187634,1.4104093807858467,5.371900826446281,0.0895186454550105,5.461419471901292,9.379439012874773,26.73518274115904,15.037246671680847,58.22757058716011,141.8,79.07,0.0,224.08,4.0,1.6463313067377363,0.0,3.672479349678773,3.672479349678773,9.31881065641651,42.92393254332066,17.666753488591887,39.409313968087446,37948,504,491.0,8.11,India,28,Andhra Pradesh,Y.S.R.,2012,Chennur,14.57388889,78.77166667,2022-12-12
31,31.4,23.8,170.0,3.2,173.2,1.5669444583063026,1.958444764451759,7.394519356241845,0.08184561870172388,7.476364974943569,11.00175419770163,14.242678305189296,17.80120451028525,67.95611718452547,159.16,20.12,0.0,373.47,4.489703808180535,0.4189222953277255,0.0,6.120853546610726,6.120853546610726,11.029479650118986,40.70639731523599,3.798205433229175,55.49539725153484,37950,504,566.0,8.03,India,28,Andhra Pradesh,Y.S.R.,2012,Nandipalli,14.71527778,79.01777778,2022-12-12
64,40.08,36.94,301.5,9.5,311.0,2.00009980537951,3.0397037646574776,13.114397564158331,0.24297918052074274,13.357376744679074,18.39718031471606,10.871773669466148,16.52266115055682,72.60556517997705,268.04,151.55,0.0,454.82,7.561071932299012,3.1554509869242944,0.0,7.454110397272847,7.454110397272847,18.170633316496154,41.61149367003469,17.36566322132332,41.022843108641986,38092,504,886.0,7.68,India,28,Andhra Pradesh,Y.S.R.,2012,Alladupalli,14.25,78.66666667,2022-07-12
65,32.06,36.94,261.0,7.7,268.7,1.599880233544588,3.0397037646574776,11.35276207046542,0.1969410200010231,11.549703090466444,16.18928708866851,9.882339010866046,18.77601989518785,71.3416410939461,233.68,139.66,0.0,397.96,6.5918194640338506,2.9078870658782376,0.0,6.522223679035007,6.522223679035007,16.021930208947097,41.142480200998456,18.149417878842037,40.70810192015949,38093,504,803.0,7.99,India,28,Andhra Pradesh,Y.S.R.,2012,Chennur,14.57388889,78.77166667,2022-07-12
66,28.86,27.22,162.0,4.9,166.9,1.440191626328659,2.2398683398477677,7.046541974771641,0.12532610363701469,7.1718680784086555,10.851928044585083,13.271297233188793,20.64028005572173,66.08842271108946,130.58,20.32,0.0,437.76,3.683497884344147,0.42308653285583414,0.0,7.1745116035138325,7.1745116035138325,11.281096020713814,32.65195046279796,3.7504027275273844,63.59764680967464,38095,504,540.0,8.19,India,28,Andhra Pradesh,Y.S.R.,2012,Nandipalli,14.71527778,79.01777778,2022-07-12
75,38.48,34.03,261.5,8.9,270.4,1.9202555017715452,2.800246862785435,11.374510656807308,0.22763312701416955,11.602143783821477,16.322646148378457,11.764363965963383,17.155593751958047,71.08004228207858,209.62,183.41,0.0,323.25,5.91311706629055,3.818814025151995,0.0,5.297790743411564,5.297790743411564,15.029721834854108,39.342824380009205,25.408414520993453,35.24876109899734,38137,504,737.0,7.78,India,28,Andhra Pradesh,Y.S.R.,2012,Alladupalli,14.25,78.66666667,2022-06-12
76,28.86,36.94,238.5,7.1,245.6,1.440191626328659,3.0397037646574776,10.37407568508047,0.18159496649444984,10.55567065157492,15.035566042561056,9.578566062973087,20.2167564297414,70.20467750728551,202.75,175.75,0.0,295.14,5.719322990126939,3.659323727825435,0.0,4.8370919103186045,4.8370919103186045,14.21573862827098,40.2323307967471,25.74135487091822,34.02631433233467,38138,504,704.0,7.65,India,28,Andhra Pradesh,Y.S.R.,2012,Chennur,14.57388889,78.77166667,2022-06-12
77,28.86,29.17,181.5,5.1,186.6,1.440191626328659,2.40032915038058,7.894736842105264,0.1304414548058724,8.025178296911136,11.865699073620375,12.137435960519756,20.22914229905722,67.63342174042302,147.77,26.24,0.0,435.69,4.168406205923836,0.5463479636878488,0.0,7.140586075783402,7.140586075783402,11.855340245395087,35.16057843673403,4.608454522425571,60.23096704084039,38140,504,593.0,7.87,India,28,Andhra Pradesh,Y.S.R.,2012,Nandipalli,14.71527778,79.01777778,2022-06-12
105,53.39,13.33,108.5,3.5,112.0,2.664304606018264,1.096893643283275,4.719443236189648,0.0895186454550105,4.808961881644659,8.570160130946197,31.08815430878196,12.798986559451501,56.11285913176654,133.12,94.56,0.0,209.14,3.755148095909732,1.9688515032897478,0.0,3.4276255408417464,3.4276255408417464,9.151625140041226,41.03258206544959,21.51368170310436,37.45373623144606,38277,504,482.0,7.43,India,28,Andhra Pradesh,Y.S.R.,2012,Alladupalli,14.25,78.66666667,2022-11-12
