,Amount of Calcium (Ca),Amount of Magnesium (Mg),Amount of Sodium (Na),Amount of Potassium (K),Total Amount (N+K) (mg/L),Ca Weight (%) (meq/L),Mg Weight (%) (meq/L),Na Weight (%) (meq/L),K Weight (%) (meq/L),Total Amount (Na+K %) (meq/L),Total Weight Amount (Ca + Mg+ Na+K %) (meq/L),Ca Relative Conc (meq%),Mg Relative Conc (meq%),Na+K Relative Conc (meq%),Amount of Chloride (Cl),Amount of Sulfate (SO4),Amount of Carbonate (CO3),Amount of Hydrogencarbonate (HCO3),Cl Weight (%) (meq/L),SO4 Weight (%) (meq/L),CO3 Weight (%) (meq/L),HCO3 Weight (%) (meq/L),Total Amount (CO3+HCO3 %) (meq/L),Total Weight Amount (Cl + SO4+ CO3+HCO3 %) (meq/L),Cl Relative Conc (meq%),SO4 Relative Conc (meq%),CO3 + HCO3 Relative Conc (meq%),ROWID,District LGD Code,Amount of Total Dissolved Solids (TDS),"Amount of Potential of Hydrogen (H+, pH)",Country,State LGD Code,State,District,Year,Surface Water Station,Surface Water Station Latitude,Surface Water Station Longitude,Month
4261,47.36,34.75,27.15,0.82,27.97,2.363391386795748,2.859493931289858,1.1809482383645062,0.020972939792316743,1.201921178156823,6.424806496242429,36.7854096178303,44.507082555128214,18.7075078270415,7.0,11.24,0.0,374.0,0.19746121297602254,0.23403014907970351,0.0,6.129539792841222,6.129539792841222,6.561031154896948,3.0096063913466358,3.5669720742757143,93.42342153437765,31046,418,352.0,7.29,India,23,Madhya Pradesh,Narsinghpur,2018,Belkhedi,22.92777778,79.33972222,2022-12-18
4262,51.36,33.91,37.53,9.66,47.19,2.563002145815659,2.790372351368031,1.6324488908220967,0.24707146145582895,1.8795203522779256,7.232894849461616,35.43535747663244,38.57891493577753,25.98572758759003,53.0,11.78,0.0,358.0,1.4950634696755993,0.24527359040559674,0.0,5.867313491543202,5.867313491543202,7.607650551624398,19.652104937395826,3.2240386008953252,77.12385646170885,31047,418,431.0,8.05,India,23,Madhya Pradesh,Narsinghpur,2018,Gadarwara,22.92388889,78.79166667,2022-12-18
4281,23.84,10.94,8.4,1.3,9.700000000000001,1.1896801237586705,0.9002262908866488,0.3653762505437147,0.03324978259757533,0.39862603314129,2.4885324477866093,47.80649433833241,36.17498705662217,16.01851860504541,2.0,10.83,0.0,124.0,0.05641748942172073,0.22549346214708088,0.0,2.0322538350596564,2.0322538350596564,2.3141647866284583,2.4379201406791875,9.744053813713315,87.8180260456075,31072,418,139.0,7.86,India,23,Madhya Pradesh,Narsinghpur,2018,Barmanghat,23.03111111,79.01555556,2022-02-18
4282,37.8,29.89,19.31,1.22,20.529999999999998,1.8863216727381602,2.459576218885003,0.8399304045237059,0.031203642130032228,0.8711340466537382,5.217031938276902,36.156989166548605,47.145124813963854,16.69788601948753,3.0,13.94,0.0,290.0,0.0846262341325811,0.29024735570916965,0.0,4.752851711026616,4.752851711026616,5.1277253008683665,1.65036598427474,5.660353054794434,92.68928096093083,31073,418,304.0,7.89,India,23,Madhya Pradesh,Narsinghpur,2018,Belkhedi,22.92777778,79.33972222,2022-02-18
4283,56.24,31.35,28.96,5.52,34.480000000000004,2.806527271819951,2.5797161077967496,1.2596781209221402,0.14118369226047367,1.4008618131826138,6.787105192799315,41.350873341369415,38.00907801655504,20.64004864207555,7.0,24.74,0.0,333.0,0.19746121297602254,0.5151161822270343,0.0,5.457584895765045,5.457584895765045,6.1701622909681015,3.2002596311780445,8.34850297181101,88.45123739701096,31074,418,378.0,7.46,India,23,Madhya Pradesh,Narsinghpur,2018,Gadarwara,22.92388889,78.79166667,2022-02-18
4302,27.6,15.8,8.24,1.35,9.59,1.377314237237387,1.300144003291504,0.3584167029143106,0.03452862038978976,0.39294532330410037,3.070403563832991,44.85775920341862,42.344401192279975,12.797839604301407,15.0,11.56,0.0,153.0,0.42313117066290545,0.2406929291246773,0.0,2.507539006162318,2.507539006162318,3.171363105949901,13.34224926401694,7.589573350118919,79.06817738586415,31102,418,183.0,7.69,India,23,Madhya Pradesh,Narsinghpur,2018,Barmanghat,23.03111111,79.01555556,2022-01-18
4303,47.36,31.83,20.47,1.14,21.61,2.363391386795748,2.619214153466365,0.8903871248368856,0.02915750166248913,0.9195446264993747,5.902150166761487,40.042888100431746,44.37728758947401,15.579824310094253,6.0,11.39,0.0,369.0,0.1692524682651622,0.23715332722578497,0.0,6.047594073685591,6.047594073685591,6.453999869176538,2.6224430073742315,3.6745170751923677,93.7030399174334,31103,418,333.0,7.87,India,23,Madhya Pradesh,Narsinghpur,2018,Belkhedi,22.92777778,79.33972222,2022-01-18
4304,61.36,35.96,33.44,6.76,40.199999999999996,3.0620290433654374,2.959061921415347,1.4545454545454546,0.1728988695073917,1.6274443240528462,7.648535288833631,40.03418860910275,38.687955401544485,21.27785598935276,54.0,25.43,0.0,382.0,1.5232722143864597,0.529482801699009,0.0,6.260652943490232,6.260652943490232,8.3134079595757,18.323077873640216,6.369022238216163,75.30789988814362,31104,418,506.0,7.84,India,23,Madhya Pradesh,Narsinghpur,2018,Gadarwara,22.92388889,78.79166667,2022-01-18
4323,21.84,9.48,5.27,4.05,9.32,1.0898747442487149,0.7800864019749023,0.22923010004349717,0.10358586116936927,0.33281596121286644,2.2027771074364835,49.47730483349147,35.413769252520524,15.108925913988015,7.0,17.34,0.0,125.0,0.19746121297602254,0.36103939368701593,0.0,2.0486429788907827,2.0486429788907827,2.607143585553821,7.573852628223272,13.848082464177836,78.5780649075989,31132,418,145.0,8.02,India,23,Madhya Pradesh,Narsinghpur,2018,Barmanghat,23.03111111,79.01555556,2022-07-18
4324,24.32,9.48,5.4,3.21,8.61,1.21363341484106,0.7800864019749023,0.23488473249238803,0.08210138626016676,0.3169861187525548,2.310705935568517,52.52219229455791,33.75965716654348,13.718150538898614,4.0,15.33,0.0,117.0,0.11283497884344146,0.31918880652952447,0.0,1.9175298282417728,1.9175298282417728,2.349553613614739,4.8024006853730485,13.585082914471537,81.61251640015541,31133,418,144.0,8.0,India,23,Madhya Pradesh,Narsinghpur,2018,Belkhedi,22.92777778,79.33972222,2022-07-18
4325,31.28,9.72,8.45,5.76,14.209999999999999,1.5609561355357053,0.79983542480971,0.36755110917790346,0.14732211366310297,0.5148732228410065,2.875664783186422,54.28157498267463,27.813931216400018,17.904493800925355,11.0,16.34,0.0,157.0,0.310296191819464,0.3402182060464729,0.0,2.573095581486823,2.573095581486823,3.22360997935276,9.62573617177366,10.55395063998351,79.82031318824284,31134,418,197.0,7.96,India,23,Madhya Pradesh,Narsinghpur,2018,Gadarwara,22.92388889,78.79166667,2022-07-18
4338,37.76,9.72,4.22,1.24,5.46,1.8843255651479613,0.79983542480971,0.18355806872553285,0.031715177246918004,0.21527324597245084,2.899434235930122,64.98942248102001,27.585913655086834,7.424663863893171,9.0,4.88,0.0,324.0,0.2538787023977433,0.10160739568584992,0.0,5.310082601284909,5.310082601284909,5.665568699368503,4.481080644667519,1.7934191795640093,93.72550017576847,31159,418,290.0,8.11,India,23,Madhya Pradesh,Narsinghpur,2018,Barmanghat,23.03111111,79.01555556,2022-06-18
4339,37.76,28.19,18.32,1.24,19.56,1.8843255651479613,2.319687307138449,0.7968682035667682,0.031715177246918004,0.8285833808136862,5.032596253100097,37.44241481694881,46.093252676677835,16.464332506373342,9.0,0.36,0.0,324.0,0.2538787023977433,0.007495627550595486,0.0,5.310082601284909,5.310082601284909,5.571456931233248,4.556774027535146,0.1345362199351386,95.30868975252972,31160,418,290.0,8.11,India,23,Madhya Pradesh,Narsinghpur,2018,Belkhedi,22.92777778,79.33972222,2022-06-18
4340,22.4,9.72,4.22,1.15,5.369999999999999,1.1178202505115025,0.79983542480971,0.18355806872553285,0.029413269220932015,0.21297133794646486,2.1306270132676777,52.46437990087883,37.53990819740086,9.995711901720293,8.0,4.88,0.0,123.0,0.22566995768688292,0.10160739568584992,0.0,2.01586469122853,2.01586469122853,2.343142044601263,9.631083109401743,4.336373713235155,86.0325431773631,31161,418,128.0,7.85,India,23,Madhya Pradesh,Narsinghpur,2018,Gadarwara,22.92388889,78.79166667,2022-06-18
4357,24.32,13.37,7.06,2.08,9.14,1.21363341484106,1.1001851470890762,0.3070900391474554,0.05319965215612052,0.3602896913035759,2.674108253233712,45.384603011992965,41.14213198955794,13.473264998449082,13.0,10.32,0.0,150.0,0.36671368124118475,0.21487465645040393,0.0,2.458371574668939,2.458371574668939,3.039959912360528,12.063109113713004,7.06833848619911,80.86855240008788,31186,418,185.0,7.86,India,23,Madhya Pradesh,Narsinghpur,2018,Barmanghat,23.03111111,79.01555556,2022-03-18
