,Amount of Calcium (Ca),Amount of Magnesium (Mg),Amount of Sodium (Na),Amount of Potassium (K),Total Amount (N+K) (mg/L),Ca Weight (%) (meq/L),Mg Weight (%) (meq/L),Na Weight (%) (meq/L),K Weight (%) (meq/L),Total Amount (Na+K %) (meq/L),Total Weight Amount (Ca + Mg+ Na+K %) (meq/L),Ca Relative Conc (meq%),Mg Relative Conc (meq%),Na+K Relative Conc (meq%),Amount of Chloride (Cl),Amount of Sulfate (SO4),Amount of Carbonate (CO3),Amount of Hydrogencarbonate (HCO3),Cl Weight (%) (meq/L),SO4 Weight (%) (meq/L),CO3 Weight (%) (meq/L),HCO3 Weight (%) (meq/L),Total Amount (CO3+HCO3 %) (meq/L),Total Weight Amount (Cl + SO4+ CO3+HCO3 %) (meq/L),Cl Relative Conc (meq%),SO4 Relative Conc (meq%),CO3 + HCO3 Relative Conc (meq%),ROWID,District LGD Code,Amount of Total Dissolved Solids (TDS),"Amount of Potential of Hydrogen (H+, pH)",Country,State LGD Code,State,District,Year,Surface Water Station,Surface Water Station Latitude,Surface Water Station Longitude,Month
10,81.76,33.08,212.5,6.9,219.4,4.080043914366985,2.7220736473976546,9.243149195302307,0.17647961532559212,9.419628810627898,16.221746372392538,25.15169341638043,16.78039826852611,58.06790831509346,276.84,199.09,0.0,267.12,7.809308885754582,4.145290247355709,0.0,4.377868100170447,4.377868100170447,16.332467233280738,47.81463066303614,25.380673894197894,26.80469544276597,37882,504,954.0,7.7,India,28,Andhra Pradesh,Y.S.R.,2017,Alladupalli,14.25,78.66666667,2022-04-17
11,49.7,25.29,152.4,5.5,157.9,2.4801636808223964,2.0810532812178564,6.628969117007395,0.1406721571435879,6.769641274150984,11.330858236191236,21.888577450388087,18.366245855683598,59.745176693928315,199.94,158.64,0.0,200.34,5.640056417489421,3.303073207295744,0.0,3.2834010751278355,3.2834010751278355,12.226530699913,46.12965489490452,27.01562109780862,26.854724007286865,37883,504,691.0,7.44,India,28,Andhra Pradesh,Y.S.R.,2017,Chennur,14.57388889,78.77166667,2022-04-17
12,32.06,13.62,39.5,3.5,43.0,1.599880233544588,1.1207570458753342,1.7181383210091346,0.0895186454550105,1.807656966464145,4.528294245884068,35.33074810672424,24.75009319224411,39.91915870103165,51.91,35.3,0.0,148.97,1.4643159379407613,0.7349879237111685,0.0,2.4414907565228794,2.4414907565228794,4.640794618174809,31.553129548246766,15.837544734962522,52.60932571679072,37885,504,254.0,7.46,India,28,Andhra Pradesh,Y.S.R.,2017,Nandipalli,14.71527778,79.01777778,2022-04-17
50,48.1,17.51,115.6,4.4,120.0,2.400319377214432,1.4408557909895086,5.028273162244454,0.11253772571487033,5.140810887959324,8.981986056163265,26.72370411405147,16.04161687604515,57.23467900990337,151.88,78.21,0.0,174.65,4.284344146685472,1.6284250853668691,0.0,2.862363970106202,2.862363970106202,8.775133202158543,48.823693589421424,18.557269135997874,32.6190372745807,38017,504,504.0,8.12,India,28,Andhra Pradesh,Y.S.R.,2017,Alladupalli,14.25,78.66666667,2022-02-17
51,33.67,18.48,107.8,4.8,112.6,1.6802235640501022,1.5206747582801894,4.688995215311005,0.12276842805258581,4.811763643363591,8.012661965693884,20.969604998238527,18.97839650282191,60.05199849893955,140.34,111.15,0.0,133.56,3.9588152327221438,2.3142750062463566,0.0,2.1889340500852237,2.1889340500852237,8.462024289053723,46.78331209522968,27.34895253420684,25.86773537056349,38018,504,484.0,7.77,India,28,Andhra Pradesh,Y.S.R.,2017,Chennur,14.57388889,78.77166667,2022-02-17
62,43.29,15.56,99.6,3.8,103.39999999999999,2.1602874394929885,1.2803949804566963,4.332318399304046,0.0971916722082971,4.429510071512343,7.870192491462028,27.448978431424322,16.26891568212254,56.28210588645314,129.41,71.04,0.0,167.91,3.6504936530324397,1.479137169984176,0.0,2.7519011406844105,2.7519011406844105,7.8815319637010255,46.31705701182278,18.767127720809242,34.91581526736799,38067,504,431.0,7.64,India,28,Andhra Pradesh,Y.S.R.,2017,Alladupalli,14.25,78.66666667,2022-01-17
63,40.08,14.59,85.2,3.2,88.4,2.00009980537951,1.2005760131660153,3.7059591126576774,0.08184561870172388,3.7878047313594014,6.988480549904926,28.619952378728733,17.179356865811815,54.200690755459455,110.14,63.03,0.0,141.68,3.1069111424541607,1.3123594569834265,0.0,2.322013897993969,2.322013897993969,6.741284497431556,46.087821150967606,19.46749847871631,34.44468037031609,38068,504,379.0,7.77,India,28,Andhra Pradesh,Y.S.R.,2017,Chennur,14.57388889,78.77166667,2022-01-17
95,81.76,34.05,221.0,6.4,227.4,4.080043914366985,2.8018926146883354,9.612875163114397,0.16369123740344776,9.776566400517845,16.658502929573167,24.492260388680233,16.819594332899197,58.688145278420556,288.37,179.28,0.0,328.76,8.134555712270803,3.732822520196552,0.0,5.38809492592107,5.38809492592107,17.255473158388426,47.14188731658361,21.63268712444382,31.225425558972567,38207,504,980.0,7.76,India,28,Andhra Pradesh,Y.S.R.,2017,Alladupalli,14.25,78.66666667,2022-03-17
96,59.32,24.32,169.8,5.9,175.70000000000002,2.9602275562652824,2.0012343139271755,7.385819921705091,0.15090285948130341,7.536722781186394,12.498184651378853,23.685260210479427,16.012199929422476,60.302539860098086,219.16,175.3,0.0,210.61,6.182228490832157,3.6499541933871913,0.0,3.4517175822735022,3.4517175822735022,13.283900266492852,46.53925704656286,27.476525118107,25.984217835330128,38208,504,753.0,7.41,India,28,Andhra Pradesh,Y.S.R.,2017,Chennur,14.57388889,78.77166667,2022-03-17
103,48.4,25.29,150.6,5.5,156.1,2.415290184140925,2.0810532812178564,6.550674206176598,0.1406721571435879,6.691346363320187,11.187689828678968,21.588819685986238,18.601277950012538,59.809902364001225,196.09,137.82,0.0,210.61,5.531452750352609,2.8695760806196384,0.0,3.4517175822735022,3.4517175822735022,11.85274641324575,46.66811013666055,24.210220826228202,29.12166903711125,38257,504,670.0,7.47,India,28,Andhra Pradesh,Y.S.R.,2017,Alladupalli,14.25,78.66666667,2022-05-17
104,51.3,24.32,157.0,5.6,162.6,2.5600079844303605,2.0012343139271755,6.829056111352762,0.14322983272801676,6.972285944080779,11.533528242438315,22.19622591299214,17.351449373171974,60.452324713835885,203.78,157.65,0.0,210.61,5.748377997179125,3.2824602315316067,0.0,3.4517175822735022,3.4517175822735022,12.482555810984234,46.05129017024497,26.296379373230206,27.65233045652482,38258,504,699.0,7.49,India,28,Andhra Pradesh,Y.S.R.,2017,Chennur,14.57388889,78.77166667,2022-05-17
