,Amount of Calcium (Ca),Amount of Magnesium (Mg),Amount of Sodium (Na),Amount of Potassium (K),Total Amount (N+K) (mg/L),Ca Weight (%) (meq/L),Mg Weight (%) (meq/L),Na Weight (%) (meq/L),K Weight (%) (meq/L),Total Amount (Na+K %) (meq/L),Total Weight Amount (Ca + Mg+ Na+K %) (meq/L),Ca Relative Conc (meq%),Mg Relative Conc (meq%),Na+K Relative Conc (meq%),Amount of Chloride (Cl),Amount of Sulfate (SO4),Amount of Carbonate (CO3),Amount of Hydrogencarbonate (HCO3),Cl Weight (%) (meq/L),SO4 Weight (%) (meq/L),CO3 Weight (%) (meq/L),HCO3 Weight (%) (meq/L),Total Amount (CO3+HCO3 %) (meq/L),Total Weight Amount (Cl + SO4+ CO3+HCO3 %) (meq/L),Cl Relative Conc (meq%),SO4 Relative Conc (meq%),CO3 + HCO3 Relative Conc (meq%),ROWID,District LGD Code,Amount of Total Dissolved Solids (TDS),"Amount of Potential of Hydrogen (H+, pH)",Country,State LGD Code,State,District,Year,Surface Water Station,Surface Water Station Latitude,Surface Water Station Longitude,Month
1,11.69,4.05,20.6,1.6,22.200000000000003,0.5833624432356903,0.3332647603373791,0.8960417572857765,0.04092280935086194,0.9369645666366384,1.8535917702097078,31.472002228931515,17.979404402495536,50.54859336857295,19.85,7.5,0.0,77.1,0.5599435825105783,0.15615890730407264,0.0,1.2636029893798348,1.2636029893798348,1.979705479194486,28.28418612744414,7.887986821535266,63.82782705102059,37845,502,89.0,8.22,India,28,Andhra Pradesh,Anantapur,2013,Tadipatri,14.25,78.0,2022-09-13
2,54.96,19.04,172.0,8.4,180.4,2.7426518289335795,1.566755811561407,7.481513701609396,0.2148447490920252,7.696358450701421,12.005766091196408,22.84445497355402,13.05002779214796,64.10551723429802,225.72,117.32,0.0,244.0,6.367277856135401,2.4427417339885067,0.0,3.998951094794808,3.998951094794808,12.808970684918716,49.70952009151083,19.07055448932045,31.219925419168717,37862,504,613.0,7.22,India,28,Andhra Pradesh,Y.S.R.,2013,Alladupalli,14.25,78.66666667,2022-04-13
3,40.83,22.85,177.5,4.6,182.1,2.0375268226957433,1.8802715490639788,7.720748151370161,0.11765307688372806,7.83840122825389,11.756199600013613,17.33150926336249,15.993872280475754,66.67461845616175,195.92,125.67,0.0,224.08,5.526657263751762,2.616598650787041,0.0,3.672479349678773,3.672479349678773,11.815735264217576,46.77370591137504,22.145034500824263,31.081259587800695,37863,504,638.0,7.75,India,28,Andhra Pradesh,Y.S.R.,2013,Chennur,14.57388889,78.77166667,2022-04-13
16,60.12,23.29,161.0,6.1,167.1,3.0001497080692645,1.9164780909277925,7.003044802087865,0.15601821065016114,7.1590630127380255,12.075690811735083,24.844538957172844,15.870546213930641,59.28491482889651,207.03,156.14,0.0,214.12,5.840056417489421,3.2510202381943865,0.0,3.5092434771207555,3.5092434771207555,12.600320132804562,46.34847651437845,25.801092384394675,27.850431101226892,37907,504,570.0,7.3,India,28,Andhra Pradesh,Y.S.R.,2013,Alladupalli,14.25,78.66666667,2022-08-13
17,46.76,23.29,180.0,6.0,186.0,2.3334497729427612,1.9164780909277925,7.8294910830796,0.15346053506573226,7.982951618145332,12.232879482015885,19.075228987363705,15.666614665380251,65.25815634725605,229.72,175.96,0.0,169.31,6.480112834978843,3.6636961772299497,0.0,2.7748459420479876,2.7748459420479876,12.918654954256779,50.160894132741,28.359733967681663,21.47937189957735,37908,504,602.0,7.59,India,28,Andhra Pradesh,Y.S.R.,2013,Chennur,14.57388889,78.77166667,2022-08-13
18,21.71,10.13,145.0,4.4,149.4,1.0833873945805679,0.8335733388191731,6.307090039147456,0.11253772571487033,6.419627764862326,8.336588498262067,12.995572407183372,9.998974268586586,77.00545332423003,136.13,29.69,0.0,253.96,3.8400564174894214,0.6181810610477222,0.0,4.162186967352826,4.162186967352826,8.62042444588997,44.54602486911507,7.171120922502341,48.282854208382574,37910,504,400.0,7.73,India,28,Andhra Pradesh,Y.S.R.,2013,Nandipalli,14.71527778,79.01777778,2022-08-13
32,27.0,20.46,120.0,5.2,125.2,1.3473726233844003,1.6836041966673525,5.219660722053067,0.1329991303903013,5.352659852443368,8.383636672495122,16.071457721979236,20.08202719699065,63.84651508103011,155.98,82.07,0.0,164.6,4.3999999999999995,1.7087948696593653,0.0,2.697653074603383,2.697653074603383,8.806447944262747,49.96339077739653,19.403905870727556,30.63270335187593,37952,504,499.0,7.61,India,28,Andhra Pradesh,Y.S.R.,2013,Alladupalli,14.25,78.66666667,2022-12-13
33,28.69,19.44,99.0,3.1,102.1,1.4317081690703128,1.59967084961942,4.306220095693781,0.079287943117295,4.385508038811076,7.416887057500809,19.303356758310144,21.567954820097324,59.128688421592535,127.62,85.08,0.0,153.21,3.5999999999999996,1.7714666444573999,0.0,2.5109807263668547,2.5109807263668547,7.882447370824254,45.67109465677985,22.47356133342836,31.855344009791793,37953,504,428.0,7.82,India,28,Andhra Pradesh,Y.S.R.,2013,Chennur,14.57388889,78.77166667,2022-12-13
34,13.5,22.51,200.5,3.4,203.9,0.6736863116922002,1.852293766714668,8.721183123097,0.08696096987058162,8.80814409296758,11.334124171374448,5.943876222863938,16.34262814406812,77.71349563306795,266.58,27.53,0.0,221.3,7.519887165021156,0.5732072957441493,0.0,3.626917529828242,3.626917529828242,11.720011990593548,64.16279412560839,4.890842229548946,30.946363644842656,37955,504,593.0,7.91,India,28,Andhra Pradesh,Y.S.R.,2013,Nandipalli,14.71527778,79.01777778,2022-12-13
42,51.82,21.9,186.0,5.0,191.0,2.585957383102949,1.8020983336761982,8.090474119182254,0.12788377922144356,8.218357898403697,12.606413615182845,20.51302981197196,14.295091281994718,65.19187890603332,208.36,142.46,0.0,234.04,5.877574047954866,2.9661863912717585,0.0,3.8357152222367903,3.8357152222367903,12.679475661463414,46.35502448905288,23.393604518575284,30.25137099237184,37997,504,557.0,7.7,India,28,Andhra Pradesh,Y.S.R.,2013,Alladupalli,14.25,78.66666667,2022-02-13
43,45.54,22.85,196.0,5.2,201.2,2.2725684914416884,1.8802715490639788,8.525445846020009,0.1329991303903013,8.65844497641031,12.811285016915978,17.738802067403828,14.676681898664143,67.58451603393202,211.25,150.89,0.0,219.1,5.959097320169252,3.1417090030815356,0.0,3.590861413399764,3.590861413399764,12.691667736650551,46.95283113156816,24.7541069327636,28.29306193566824,37998,504,556.0,7.64,India,28,Andhra Pradesh,Y.S.R.,2013,Chennur,14.57388889,78.77166667,2022-02-13
44,32.97,27.61,210.0,4.3,214.3,1.6452916812216176,2.2719605019543305,9.134406263592867,0.10998005013044146,9.244386313723309,13.161638496899258,12.500660017438033,17.26198833442797,70.237351648134,193.89,37.16,0.0,418.29,5.469393511988716,0.7737153327225784,0.0,6.855414973121805,6.855414973121805,13.0985238178331,41.75580079140187,5.90688953566811,52.33730967293002,38000,504,579.0,7.98,India,28,Andhra Pradesh,Y.S.R.,2013,Nandipalli,14.71527778,79.01777778,2022-02-13
52,62.81,13.33,136.0,3.6,139.6,3.134387943510155,1.096893643283275,5.9156154849934754,0.09207632103943936,6.0076918060329145,10.238973392826345,30.61232628757662,10.712926005372601,58.67474770705078,147.59,86.34,0.0,244.0,4.163328631875881,1.7977013408844842,0.0,3.998951094794808,3.998951094794808,9.959981067555173,41.80056772836651,18.04924455871237,40.15018771292113,38047,504,464.0,7.64,India,28,Andhra Pradesh,Y.S.R.,2013,Alladupalli,14.25,78.66666667,2022-01-13
53,48.68,20.0,145.5,3.8,149.3,2.429262937272319,1.6457519029006378,6.328838625489344,0.0971916722082971,6.426030297697642,10.501045137870598,23.133534856559287,15.672267677104408,61.194197466336306,167.84,99.1,0.0,239.02,4.7345557122708035,2.063379695177813,0.0,3.9173331585157993,3.9173331585157993,10.715268565964415,44.18513342082225,19.25644404034684,36.558422538830925,38048,504,498.0,7.8,India,28,Andhra Pradesh,Y.S.R.,2013,Chennur,14.57388889,78.77166667,2022-01-13
54,36.11,25.71,190.0,3.8,193.8,1.801986127052248,2.11561407117877,8.264462809917356,0.0971916722082971,8.361654482125653,12.27925468035667,14.675044813061133,17.229173319152288,68.09578186778658,167.84,32.02,0.0,403.35,4.7345557122708035,0.6666944282501874,0.0,6.610561164284778,6.610561164284778,12.01181130480577,39.415834898909615,5.550323854849865,55.03384124624051,38050,504,547.0,7.87,India,28,Andhra Pradesh,Y.S.R.,2013,Nandipalli,14.71527778,79.01777778,2022-01-13
67,38.44,22.32,210.0,5.8,215.8,1.9182593941813462,1.8366591236371117,9.134406263592867,0.1483451838968745,9.28275144748974,13.037669965308199,14.713207185682894,14.08732640513419,71.19946640918292,272.02,179.6,0.0,174.3,7.673342736248236,3.7394853002415256,0.0,2.8566277697653075,2.8566277697653075,14.269455806255069,53.77459967943976,26.20622223450391,20.019178086056332,38097,504,706.0,7.25,India,28,Andhra Pradesh,Y.S.R.,2013,Alladupalli,14.25,78.66666667,2022-07-13
68,28.63,19.84,204.5,6.8,211.3,1.428714007685014,1.6325858876774326,8.895171813832102,0.17392193974116324,9.069093753573265,12.130393648935712,11.777969034091202,13.458638976820604,74.76339198908819,274.92,183.44,0.0,97.1,7.755148095909732,3.819438660781211,0.0,1.59138586600236,1.59138586600236,13.165972622693303,58.902963861118046,29.009924068943462,12.087112069938495,38098,504,684.0,7.75,India,28,Andhra Pradesh,Y.S.R.,2013,Chennur,14.57388889,78.77166667,2022-07-13
69,26.72,17.21,167.0,5.1,172.1,1.3333998702530065,1.4161695124459988,7.264027838190518,0.1304414548058724,7.394469292996391,10.144038675695395,13.144664693045437,13.960608370303925,72.89472693665066,199.68,54.61,0.0,239.02,5.632722143864598,1.137045057050054,0.0,3.9173331585157993,3.9173331585157993,10.68710035943045,52.70580376738208,10.639415920209911,36.65478031240802,38100,504,556.0,7.56,India,28,Andhra Pradesh,Y.S.R.,2013,Nandipalli,14.71527778,79.01777778,2022-07-13
78,31.08,22.81,187.5,6.1,193.6,1.5509755975847097,1.8769800452581773,8.155719878207917,0.15601821065016114,8.311738088858078,11.739693731700966,13.21138040762149,15.98832208194431,70.80029751043419,240.19,149.74,0.0,169.31,6.775458392101551,3.1177646372949117,0.0,2.7748459420479876,2.7748459420479876,12.66806897144445,53.484539809298134,24.61120668290311,21.904253507798764,38142,504,635.0,7.28,India,28,Andhra Pradesh,Y.S.R.,2013,Alladupalli,14.25,78.66666667,2022-06-13
79,31.08,20.83,201.0,6.6,207.6,1.5509755975847097,1.7140506068710142,8.742931709438887,0.1688065885723055,8.911738298011192,12.176764502466916,12.737173304702528,14.07640433978797,73.1864223555095,251.77,156.75,0.0,169.31,7.102115655853314,3.263721162655118,0.0,2.7748459420479876,2.7748459420479876,13.14068276055642,54.04677812610543,24.83677006838358,21.116451805510994,38143,504,641.0,7.94,India,28,Andhra Pradesh,Y.S.R.,2013,Chennur,14.57388889,78.77166667,2022-06-13
86,58.1,21.9,150.0,4.8,154.8,2.8993462747642096,1.8020983336761982,6.524575902566333,0.12276842805258581,6.647344330618919,11.348788939059327,25.547627066932918,15.8792126926767,58.57316024039038,191.02,103.4,0.0,248.98,5.388434414668547,2.152910802032148,0.0,4.080569031073817,4.080569031073817,11.621914247774512,46.36443102047824,18.524579997175685,35.110988982346065,38187,504,634.0,7.71,India,28,Andhra Pradesh,Y.S.R.,2013,Alladupalli,14.25,78.66666667,2022-03-13
87,43.97,21.9,152.5,4.4,156.9,2.1942212685263733,1.8020983336761982,6.633318834275773,0.11253772571487033,6.745856559990643,10.742176162193214,20.426226822167312,16.7759149213977,62.797858256435,202.57,118.8,0.0,214.12,5.714245416078984,2.4735570916965104,0.0,3.5092434771207555,3.5092434771207555,11.69704598489625,48.852038569887426,21.146852760008624,30.001108670103957,38188,504,619.0,8.0,India,28,Andhra Pradesh,Y.S.R.,2013,Chennur,14.57388889,78.77166667,2022-03-13
88,34.54,28.56,195.5,3.5,199.0,1.7236389041369329,2.3501337173421106,8.503697259678122,0.0895186454550105,8.593215905133132,12.666988526612176,13.607329796784187,18.553215805040765,67.83945439817504,188.1,28.8,0.0,433.32,5.306064880112834,0.5996502040476389,0.0,7.101743804903632,7.101743804903632,13.007458889064104,40.79247857222795,4.610048812468583,54.59747261530348,38190,504,659.0,8.0,India,28,Andhra Pradesh,Y.S.R.,2013,Nandipalli,14.71527778,79.01777778,2022-03-13
