,Amount of Calcium (Ca),Amount of Magnesium (Mg),Amount of Sodium (Na),Amount of Potassium (K),Total Amount (N+K) (mg/L),Ca Weight (%) (meq/L),Mg Weight (%) (meq/L),Na Weight (%) (meq/L),K Weight (%) (meq/L),Total Amount (Na+K %) (meq/L),Total Weight Amount (Ca + Mg+ Na+K %) (meq/L),Ca Relative Conc (meq%),Mg Relative Conc (meq%),Na+K Relative Conc (meq%),Amount of Chloride (Cl),Amount of Sulfate (SO4),Amount of Carbonate (CO3),Amount of Hydrogencarbonate (HCO3),Cl Weight (%) (meq/L),SO4 Weight (%) (meq/L),CO3 Weight (%) (meq/L),HCO3 Weight (%) (meq/L),Total Amount (CO3+HCO3 %) (meq/L),Total Weight Amount (Cl + SO4+ CO3+HCO3 %) (meq/L),Cl Relative Conc (meq%),SO4 Relative Conc (meq%),CO3 + HCO3 Relative Conc (meq%),ROWID,District LGD Code,Amount of Total Dissolved Solids (TDS),"Amount of Potential of Hydrogen (H+, pH)",Country,State LGD Code,State,District,Year,Surface Water Station,Surface Water Station Latitude,Surface Water Station Longitude,Month
4,37.13,19.44,114.0,3.0,117.0,1.8528868706023254,1.59967084961942,4.958677685950414,0.07673026753286613,5.03540795348328,8.487965673705025,21.829575446357033,18.84633976048066,59.324084793162314,147.47,90.29,0.0,175.9,4.159943582510578,1.8799450320646292,0.0,2.88285039989511,2.88285039989511,8.922739014470316,46.62182291518616,21.069147366249947,32.3090297185639,37867,504,475.0,7.86,India,28,Andhra Pradesh,Y.S.R.,2014,Alladupalli,14.25,78.66666667,2022-04-14
5,37.13,23.53,110.0,3.2,113.2,1.8528868706023254,1.9362271137626004,4.784688995215311,0.08184561870172388,4.866534613917035,8.65564859828196,21.406678535564634,22.369520802252968,56.223800662182406,144.64,98.52,0.0,164.6,4.080112834978843,2.051303406346298,0.0,2.697653074603383,2.697653074603383,8.829069315928525,46.21226415810227,23.233517972789514,30.554217869108207,37868,504,489.0,8.05,India,28,Andhra Pradesh,Y.S.R.,2014,Chennur,14.57388889,78.77166667,2022-04-14
19,35.63,25.94,203.0,6.8,209.8,1.7780328359698587,2.1345402180621273,8.829926054806439,0.17392193974116324,9.003847994547602,12.916421048579588,13.765677266810592,16.525786903616474,69.70853582957294,263.75,147.56,0.0,170.8,7.440056417489421,3.0723744482385276,0.0,2.7992657663563656,2.7992657663563656,13.311696632084313,55.891120592074934,23.080261916676974,21.028617491248095,37912,504,653.0,7.5,India,28,Andhra Pradesh,Y.S.R.,2014,Alladupalli,14.25,78.66666667,2022-08-14
20,26.72,20.54,107.5,4.6,112.1,1.3333998702530065,1.690187204278955,4.675946063505872,0.11765307688372806,4.793599140389601,7.817186214921563,17.05728677292851,21.62142691513092,61.32128631194056,141.8,105.26,0.0,134.2,4.0,2.191638211043558,0.0,2.1994231021371444,2.1994231021371444,8.391061313180703,47.66977442670796,26.118724786350047,26.211500786941986,37913,504,406.0,7.98,India,28,Andhra Pradesh,Y.S.R.,2014,Chennur,14.57388889,78.77166667,2022-08-14
35,54.0,23.55,115.5,2.9,118.4,2.6947452467688007,1.937872865665501,5.023923444976077,0.07417259194843726,5.098096036924514,9.730714149358816,27.693190914937784,19.915011744468856,52.391797340593364,150.14,98.83,0.0,244.0,4.2352609308885745,2.057757974514866,0.0,3.998951094794808,3.998951094794808,10.29197000019825,41.15112005580072,19.99382017704316,38.85505976715612,37957,504,528.0,7.91,India,28,Andhra Pradesh,Y.S.R.,2014,Alladupalli,14.25,78.66666667,2022-12-14
36,50.63,25.6,111.0,3.1,114.1,2.5265731822945257,2.1065624357128163,4.828186167899087,0.079287943117295,4.907474111016382,9.540609729023725,26.482303060865963,22.07995605673284,51.437740882401194,147.36,97.24,0.0,244.0,4.156840620592384,2.0246522861664027,0.0,3.998951094794808,3.998951094794808,10.180444001553594,40.83162404270409,19.88766193161545,39.28071402568046,37958,504,499.0,7.82,India,28,Andhra Pradesh,Y.S.R.,2014,Chennur,14.57388889,78.77166667,2022-12-14
45,33.75,20.46,95.0,3.6,98.6,1.6842157792305004,1.6836041966673525,4.132231404958678,0.09207632103943936,4.224307725998117,7.59212770189597,22.183712463238777,22.175656980149434,55.64063055661179,124.78,98.12,0.0,141.9,3.5198871650211565,2.042974931290081,0.0,2.325619509636817,2.325619509636817,7.888481605948054,44.620591653114836,25.898202383455416,29.48120596342975,38002,504,407.0,7.71,India,28,Andhra Pradesh,Y.S.R.,2014,Alladupalli,14.25,78.66666667,2022-02-14
46,27.0,17.39,89.5,4.0,93.5,1.3473726233844003,1.4309812795721046,3.8929969551979124,0.10230702337715485,3.9953039785750675,6.773657881531573,19.89135924709191,21.12567987045353,58.98296088245455,116.28,80.26,0.0,124.8,3.2801128349788433,1.6711085200299827,0.0,2.0453651501245576,2.0453651501245576,6.996586505133384,46.88161623632081,23.884626007323615,29.23375775635557,38003,504,391.0,8.08,India,28,Andhra Pradesh,Y.S.R.,2014,Chennur,14.57388889,78.77166667,2022-02-14
47,15.19,26.6,225.0,4.1,229.1,0.7580218573781126,2.1888500308578482,9.7868638538495,0.10486469896158371,9.891728552811083,12.838600441047044,5.904240581820713,17.048976957486325,77.04678246069295,289.27,34.51,16.74,255.3,8.159943582510577,0.7185391854751395,0.5579256099186775,4.184148420086535,4.742074030005212,13.620556797990929,59.90903091211507,5.275402438622232,34.81556664926269,38005,504,661.0,8.34,India,28,Andhra Pradesh,Y.S.R.,2014,Nandipalli,14.71527778,79.01777778,2022-02-14
55,25.31,16.37,95.0,3.4,98.4,1.2630370776984878,1.347047932524172,4.132231404958678,0.08696096987058162,4.21919237482926,6.8292773850519195,18.494446871685906,19.724604179537675,61.78094894877642,124.78,74.84,0.0,124.8,3.5198871650211565,1.5582576830182395,0.0,2.0453651501245576,2.0453651501245576,7.123509998163954,49.412258366007606,21.874857807736245,28.71288382625615,38052,504,399.0,7.2,India,28,Andhra Pradesh,Y.S.R.,2014,Alladupalli,14.25,78.66666667,2022-01-14
56,20.25,15.35,90.0,3.4,93.4,1.0105294675383003,1.2631145854762393,3.9147455415398,0.08696096987058162,4.001706511410382,6.2753505644249215,16.103155627145526,20.12819160473455,63.76865276811993,116.28,64.01,0.0,113.5,3.2801128349788433,1.3327642208711585,0.0,1.8601678248328308,1.8601678248328308,6.473044880682833,50.67341406464694,20.589448172195695,28.737137763157364,38053,504,368.0,7.93,India,28,Andhra Pradesh,Y.S.R.,2014,Chennur,14.57388889,78.77166667,2022-01-14
57,15.19,24.56,210.0,3.5,213.5,0.7580218573781126,2.020983336761983,9.134406263592867,0.0895186454550105,9.223924909047877,12.002930103187973,6.315306769776009,16.837416525696593,76.84727670452739,272.26,33.15,0.0,266.7,7.680112834978843,0.690222370284001,0.0,4.370984659761374,4.370984659761374,12.741319865024218,60.27721551878837,5.417196786486053,34.30558769472558,38055,504,625.0,8.04,India,28,Andhra Pradesh,Y.S.R.,2014,Nandipalli,14.71527778,79.01777778,2022-01-14
