,Amount of Calcium (Ca),Amount of Magnesium (Mg),Amount of Sodium (Na),Amount of Potassium (K),Total Amount (N+K) (mg/L),Ca Weight (%) (meq/L),Mg Weight (%) (meq/L),Na Weight (%) (meq/L),K Weight (%) (meq/L),Total Amount (Na+K %) (meq/L),Total Weight Amount (Ca + Mg+ Na+K %) (meq/L),Ca Relative Conc (meq%),Mg Relative Conc (meq%),Na+K Relative Conc (meq%),Amount of Chloride (Cl),Amount of Sulfate (SO4),Amount of Carbonate (CO3),Amount of Hydrogencarbonate (HCO3),Cl Weight (%) (meq/L),SO4 Weight (%) (meq/L),CO3 Weight (%) (meq/L),HCO3 Weight (%) (meq/L),Total Amount (CO3+HCO3 %) (meq/L),Total Weight Amount (Cl + SO4+ CO3+HCO3 %) (meq/L),Cl Relative Conc (meq%),SO4 Relative Conc (meq%),CO3 + HCO3 Relative Conc (meq%),ROWID,District LGD Code,Amount of Total Dissolved Solids (TDS),"Amount of Potential of Hydrogen (H+, pH)",Country,State LGD Code,State,District,Year,Surface Water Station,Surface Water Station Latitude,Surface Water Station Longitude,Month
8,51.3,30.16,175.5,5.8,181.3,2.5600079844303605,2.4817938695741617,7.63375380600261,0.1483451838968745,7.782098989899485,12.823900843904006,19.962786796244536,19.352877878449224,60.68433532530624,230.09,178.03,0.0,212.42,6.490550070521861,3.7067960356458736,0.0,3.4813819326078406,3.4813819326078406,13.678728038775576,47.44995332989199,27.098981901958187,25.451064768149816,37877,504,783.0,7.94,India,28,Andhra Pradesh,Y.S.R.,2016,Alladupalli,14.25,78.66666667,2022-04-16
9,60.92,35.02,192.5,6.2,198.7,3.040071859873247,2.881711581979017,8.373205741626794,0.15857588623459,8.531781627861385,14.45356506971365,21.033370280689347,19.93772171834218,59.02890800096847,251.49,208.16,0.0,246.87,7.094217207334274,4.334138419255434,0.0,4.045987937590141,4.045987937590141,15.474343564179849,45.84502843633401,28.00854460339201,26.146426960273978,37878,504,883.0,8.06,India,28,Andhra Pradesh,Y.S.R.,2016,Chennur,14.57388889,78.77166667,2022-04-16
25,41.68,14.59,101.0,4.8,105.8,2.0799441089874744,1.2005760131660153,4.393214441061331,0.12276842805258581,4.515982869113917,7.796502991267406,26.677910741740856,15.39890402800767,57.923185230251484,131.1,94.39,0.0,136.43,3.6981664315937937,1.9653119013908553,0.0,2.235970892880556,2.235970892880556,7.899449225865205,46.81549720561364,24.87910036760316,28.305402426783196,37922,504,433.0,7.26,India,28,Andhra Pradesh,Y.S.R.,2016,Alladupalli,14.25,78.66666667,2022-08-16
26,25.65,9.73,80.4,3.5,83.9,1.2800039922151802,0.8006583007611603,3.4971726837755552,0.0895186454550105,3.5866913292305656,5.667353622206906,22.585567754227025,14.127551484062478,63.286880761710506,104.34,67.45,0.0,89.2,2.9433004231311704,1.4043891063546265,0.0,1.4619116297364627,1.4619116297364627,5.809601159222259,50.6626934012316,24.17358899285669,25.163717605911714,37923,504,323.0,7.56,India,28,Andhra Pradesh,Y.S.R.,2016,Chennur,14.57388889,78.77166667,2022-08-16
27,12.83,4.86,25.4,2.3,27.7,0.640251509556365,0.399917712404855,1.104828186167899,0.05882653844186403,1.163654724609763,2.2038239465709832,29.051844660847692,18.14653629783372,52.80161904131859,18.73,5.58,0.0,89.2,0.5283497884344146,0.11618222703423003,0.0,1.4619116297364627,1.4619116297364627,2.1064436452051076,25.08255037523059,5.515563034344419,69.40188659042498,37924,504,111.0,7.53,India,28,Andhra Pradesh,Y.S.R.,2016,Kamalapuram,14.59277778,78.17583333,2022-08-16
28,11.22,3.89,45.1,2.2,47.300000000000004,0.5599081790508509,0.3200987451141741,1.9617224880382778,0.05626886285743517,2.017991350895713,2.897998275060738,19.320514572739558,11.045511926933955,69.63397350032648,26.75,14.12,0.0,104.95,0.7545839210155147,0.2939951694844674,0.0,1.7200406450767012,1.7200406450767012,2.7686197355766833,27.254877631591416,10.618835288452148,62.12628707995644,37925,504,152.0,7.66,India,28,Andhra Pradesh,Y.S.R.,2016,Nandipalli,14.71527778,79.01777778,2022-08-16
40,48.1,17.51,110.8,2.5,113.3,2.400319377214432,1.4408557909895086,4.819486733362331,0.06394188961072178,4.883428622973053,8.724603791176992,27.512073151583387,16.514856439058192,55.973070409358435,143.18,84.24,0.0,183.66,4.038928067700987,1.7539768468393437,0.0,3.010030156024649,3.010030156024649,8.802935070564981,45.88160693364929,19.92490950778729,34.193483558563415,37967,504,483.0,7.55,India,28,Andhra Pradesh,Y.S.R.,2016,Alladupalli,14.25,78.66666667,2022-12-16
41,40.08,14.59,88.9,2.5,91.4,2.00009980537951,1.2005760131660153,3.8668986515876473,0.06394188961072178,3.930840541198369,7.131516359743895,28.04592606236883,16.83479294730427,55.1192809903269,118.4,69.03,0.0,136.43,3.339915373765867,1.4372865828266845,0.0,2.235970892880556,2.235970892880556,7.013172849473108,47.62345724897956,20.494098943171867,31.882443807848574,37968,504,394.0,7.48,India,28,Andhra Pradesh,Y.S.R.,2016,Chennur,14.57388889,78.77166667,2022-12-16
60,70.81,39.72,210.0,6.7,216.7,3.5336094615499776,3.2684632791606663,9.134406263592867,0.17136426415673436,9.305770527749601,16.107843268460243,21.937197939272952,20.29112913930842,57.771672921418634,283.6,212.52,0.0,292.8,8.0,4.4249187973682025,0.0,4.79874131375377,4.79874131375377,17.223660111121973,46.447734966820995,25.690931943732817,27.861333089446187,38062,504,960.0,7.25,India,28,Andhra Pradesh,Y.S.R.,2016,Alladupalli,14.25,78.66666667,2022-01-16
61,52.1,30.81,163.0,4.7,167.7,2.599930136234343,2.5352808064184322,7.090039147455416,0.12021075246815695,7.210249899923573,12.345460842576347,21.059806267157292,20.536137441503154,58.40405629133956,211.36,148.69,0.0,258.35,5.962200282087447,3.0959023902723413,0.0,4.23413530877147,4.23413530877147,13.292237981131258,44.85475125069965,23.291054483579593,31.854194265720757,38063,504,741.0,7.36,India,28,Andhra Pradesh,Y.S.R.,2016,Chennur,14.57388889,78.77166667,2022-01-16
