,Amount of Calcium (Ca),Amount of Magnesium (Mg),Amount of Sodium (Na),Amount of Potassium (K),Total Amount (N+K) (mg/L),Ca Weight (%) (meq/L),Mg Weight (%) (meq/L),Na Weight (%) (meq/L),K Weight (%) (meq/L),Total Amount (Na+K %) (meq/L),Total Weight Amount (Ca + Mg+ Na+K %) (meq/L),Ca Relative Conc (meq%),Mg Relative Conc (meq%),Na+K Relative Conc (meq%),Amount of Chloride (Cl),Amount of Sulfate (SO4),Amount of Carbonate (CO3),Amount of Hydrogencarbonate (HCO3),Cl Weight (%) (meq/L),SO4 Weight (%) (meq/L),CO3 Weight (%) (meq/L),HCO3 Weight (%) (meq/L),Total Amount (CO3+HCO3 %) (meq/L),Total Weight Amount (Cl + SO4+ CO3+HCO3 %) (meq/L),Cl Relative Conc (meq%),SO4 Relative Conc (meq%),CO3 + HCO3 Relative Conc (meq%),ROWID,District LGD Code,Amount of Total Dissolved Solids (TDS),"Amount of Potential of Hydrogen (H+, pH)",Country,State LGD Code,State,District,Year,Surface Water Station,Surface Water Station Latitude,Surface Water Station Longitude,Month
628,18.34,26.54,31.3,4.0,35.3,0.9152153301062926,2.183912775149146,1.361461505002175,0.10230702337715485,1.4637685283793298,4.562896633634768,20.057770394356695,47.86242053021171,32.07980907543161,1.0,4.62,2.64,126.0,0.028208744710860365,0.09619388689930874,0.08798826823090254,2.065032122721909,2.1530203909528116,2.2774230225629806,1.2386256058443912,4.223804095519043,94.53757029863658,17279,282,154.0,16.7,India,18,Assam,Cachar,2019,AP Ghat,24.83277778,92.79166667,2022-01-19
629,36.8,7.38,32.64,4.0,36.64,1.8364189829831825,0.6072824521703353,1.4197477163984342,0.10230702337715485,1.522054739775589,3.9657561749291066,46.306905971495105,15.313156567957465,38.37993746054743,2.92,4.82,0.3,136.0,0.08236953455571226,0.10035812442741734,0.009998666844420743,2.228923561033172,2.2389222278775924,2.421649886860722,3.4013808107699277,4.144204534765158,92.45441465446491,17280,282,168.0,14.74,India,18,Assam,Cachar,2019,B.P.GHAT,24.87555556,92.58333333,2022-01-19
630,20.0,23.54,28.98,4.08,33.06,0.9980537950995558,1.9370499897140505,1.2605480643758156,0.10435316384469795,1.3649012282205135,4.30000501303412,23.210526315068655,45.04762166189317,31.741852023038167,1.0,4.82,0.26,136.0,0.028208744710860365,0.10035812442741734,0.008665511265164644,2.228923561033172,2.2375890722983365,2.366155941436614,1.1921760614701242,4.241399422156632,94.56642451637326,17282,282,152.0,14.62,India,18,Assam,Cachar,2019,DHOLAI,24.58611111,92.84222222,2022-01-19
631,20.0,23.54,34.2,2.0,36.2,0.9980537950995558,1.9370499897140505,1.4876033057851241,0.05115351168857742,1.5387568174737016,4.473860602287308,22.308558174326897,43.29705732726034,34.394384498412755,1.94,6.06,1.14,438.0,0.054724964739069105,0.12617639710169068,0.037994934008798824,7.178444998033303,7.2164399320421015,7.397341293882861,0.7397923465329798,1.7056992788210361,97.55450837464598,17283,282,178.0,14.88,India,18,Assam,Cachar,2019,Fulertal,24.78861111,93.01888889,2022-01-19
632,8.34,12.78,25.1,2.0,27.1,0.4161884325565148,1.0516354659535074,1.0917790343627665,0.05115351168857742,1.142932546051344,2.6107564445613662,15.941296761844772,40.2808721642433,43.777831073911926,3.84,25.88,0.04,68.0,0.1083215796897038,0.5388523361372533,0.0013331555792560992,1.114461780516586,1.1157949360958421,1.7629688519227993,6.144270760743266,30.565051421614662,63.29067781764207,17284,282,94.0,13.48,India,18,Assam,Cachar,2019,GUMRA,25.01194444,92.51,2022-01-19
633,16.68,9.7,29.18,10.66,39.84,0.8323768651130296,0.7981896729068092,1.2692474989125708,0.2726482173001177,1.5418957162126885,3.1724622542325274,26.23756560074174,25.15994230796309,48.60249209129516,0.98,5.64,0.12,112.0,0.027644569816643157,0.11743149829266261,0.003999466737768297,1.8355841090861413,1.8395835758239096,1.9846596439332154,1.3929123767467209,5.916959043916259,92.69012857933701,17286,282,122.0,14.2,India,18,Assam,Cachar,2019,TULARGRAM,24.71194444,92.88388889,2022-01-19
1138,33.34,21.38,49.5,4.0,53.5,1.6637556764309598,1.7593087842007817,2.1531100478468903,0.10230702337715485,2.2554170712240453,5.6784815318557875,29.299305934120508,30.982028810540506,39.71866525533898,1.94,5.24,0.48,212.0,0.054724964739069105,0.10910302323644541,0.01599786695107319,3.4744984921987676,3.490496359149841,3.6543243471253555,1.4975398881086748,2.9855867425197333,95.5168733693716,19072,289,250.0,14.78,India,18,Assam,Hailakandi,2019,MATIJURI,24.64805556,92.61138889,2022-01-19
1389,10.0,7.8,18.89,2.0,20.89,0.4990268975497779,0.6418432421312487,0.8216615919965203,0.05115351168857742,0.8728151036850977,2.0136852433661243,24.781772583067283,31.874059972666245,43.34416744426647,1.46,2.02,0.09,66.0,0.04118476727785613,0.04205879903389689,0.002999600053326223,1.0816834928543333,1.0846830929076594,1.1679266592194124,3.5263145123669073,3.6011506974253873,92.87253479020771,20007,293,79.0,7.17,India,18,Assam,Karimganj,2019,FAKIRABAZAR,24.85166667,92.34555556,2022-01-19
2059,110.53,52.9,362.15,36.025,398.17499999999995,5.515744298617695,4.3530137831721865,15.752501087429318,0.9214026292905008,16.673903716719817,26.542661798509698,20.780675052444774,16.400064982995023,62.8192599645602,405.05,274.4,0.0,551.65,11.425952045133991,5.713333888565003,0.0,9.041071194440802,9.041071194440802,26.180357128139796,43.64322453360606,21.822979192381073,34.53379627401286,3043,80,2194.0,14.62,India,7,Delhi,North,2019,Delhi Railway Bridge,28.65916667,77.245,2022-01-19
2125,36.63,22.53,43.5,8.16,51.66,1.8279355257248366,1.8539395186175684,1.8921270117442368,0.2087063276893959,2.100833339433633,5.782708383776038,31.61037016587748,32.060055523791924,36.32957431033059,52.85,59.2,0.0,183.4,1.4908321579689703,1.2326143083201466,0.0,3.0057689786285566,3.0057689786285566,5.729215444917673,26.021576118096096,21.51453929723634,52.46388458466757,3154,82,377.0,8.02,India,7,Delhi,North West,2019,Palla,28.82944444,77.22416667,2022-01-19
