ROWID,Country,State LGD Code,State,District LGD Code,District,Year,Ground Water Station Name,Ground Water Station Latitude,Ground Water Station Longitude,Amount of Arsenic,Amount of carbonate,Amount of Calcium,Amount of Chloride,Amount of Electrical Conductivity,Amount of Fluorine,Amount of Iron,Amount of Hydrogencarbonate,Amount of Potassium,Amount of Magnesium,Amount of Nitrate,Amount of Sodium,Percentage of Sodium,Amount of Phosphate Ion,Amount of Residual Sodium Carbonate,Amount of Sodium absorption ratio,Amount of Sulfate,Amount of Silicon dioxide,Amount of Hardness Total,Amount of Alkalinity Total,Amount of Total Dissolved Solids,Amount of Potential of Hydrogen,Mark for Deletion
137560,India,28,Andhra Pradesh,505,East Godavari,2017,Mobalacheruvu-DW14,16.61638889,82.07333333,,,112,50,1318,0.62,,672,1.56,65.78,0,52,,,0.04,1.36,38,,550,550.82,,16.4,No
137561,India,28,Andhra Pradesh,505,East Godavari,2017,Mukteshwaram-DW14,16.66027778,82.02444444,,84,196,348,3452,0.58,,1098,320,34.28,7.4,350,,,16.4,8.58,244,,630,1040,,16.6,No
137562,India,28,Andhra Pradesh,505,East Godavari,2017,Mummadivaram,16.64027778,82.11194444,,,,,,,,,,,,,,,,,,,,,,,No
137563,India,28,Andhra Pradesh,505,East Godavari,2017,Mummidivarampad,16.7,81.85,,,104,184,1382,0.52,,366,28,75.5,98,40,,,-10.8,1.04,42,,570,300,,13.86,No
137564,India,28,Andhra Pradesh,505,East Godavari,2017,Munganda Pz,0,0,,,,,,,,,,,,,,,,,,,,,,,No
137565,India,28,Andhra Pradesh,505,East Godavari,2017,Muramalla 2013DW,16.67277778,82.15166667,,60,208,1942,8244,0.6,,586,100,146.14,50,1242,,,-21.6,22.84,538,,1120,580.32,,16.66,No
137566,India,28,Andhra Pradesh,505,East Godavari,2017,Panduru Junction1,17.05,82.25,,,172,276,1962,0.52,,414,60,36.68,80,140,,,-9.64,3.58,144,,580,339.34,,16.02,No
137567,India,28,Andhra Pradesh,505,East Godavari,2017,Pattipadu,17.22916667,82.19583333,,,,,,,,,,,,,,,,,,,,,,,No
137568,India,28,Andhra Pradesh,505,East Godavari,2017,Peddapuram,17.08055556,82.12638889,,,284,362,2764,1.2,,610,156,44.1,148,140,,,-15.6,2.88,240,,890,500,,14.2,No
137569,India,28,Andhra Pradesh,505,East Godavari,2017,Peddapuram -2,0,0,,,,,,,,,,,,,,,,,,,,,,,No
137570,India,28,Andhra Pradesh,505,East Godavari,2017,Pithapuram,17.11111111,82.2625,,,188,284,2676,0.66,,780,160,26.98,132,200,,,2.36,5.1,68,,580,639.34,,16.16,No
137571,India,28,Andhra Pradesh,505,East Godavari,2017,Pithapuram-DW13,16.40833333,81.79444444,,,,,,,,,,,,,,,,,,,,,,,No
137572,India,28,Andhra Pradesh,505,East Godavari,2017,Polavaram D-DW13,17.42861111,82.52555556,,,,,,,,,,,,,,,,,,,,,,,No
137573,India,28,Andhra Pradesh,505,East Godavari,2017,P Yerragonda-DW14,17.65916667,81.95111111,,,120,36,1760,4.28,,1086,1.56,92.54,11.2,148,,,8.4,3.5,32,,680,890.16,,16.24,No
137574,India,28,Andhra Pradesh,505,East Godavari,2017,Rajahmundry,17,81.78055556,,,,,,,,,,,,,,,,,,,,,,,No
137575,India,28,Andhra Pradesh,505,East Godavari,2017,Rajahmundry DW12,17,81.78055556,,,236,178,2028,0.7,,574,5.4,61.06,64,120,,,-14.8,2.54,302,,840,470.5,,16,No
137576,India,28,Andhra Pradesh,505,East Godavari,2017,Rajanagaram,17.07916667,81.90416667,,,208,524,3058,0.98,,768,11.8,48.88,14.8,332,,,-3.64,7.62,64,,720,629.5,,15.4,No
137577,India,28,Andhra Pradesh,505,East Godavari,2017,Rajavamangi,17.55,82.23333333,,,,,,,,,,,,,,,,,,,,,,,No
137578,India,28,Andhra Pradesh,505,East Godavari,2017,Rajavommangi-alt,17.55,82.23333333,,,168,114,2138,1.54,,1024,4,141.22,76,68,,,-6.44,1.32,64,,1000,839.34,,15.7,No
137579,India,28,Andhra Pradesh,505,East Godavari,2017,Rajmundry Main road 2013DW,17.05805556,81.80444444,,,180,460,3094,0.56,,818,6,97.48,4,350,,,-7.2,7.38,268,,850,670.5,,15.66,No
137580,India,28,Andhra Pradesh,505,East Godavari,2017,Rajmundry Swarajyanagar 2013DW,16.99166667,81.77777778,,,200,248,4106,2.72,,1282,2,78.04,166,440,,,9.24,9.46,220,,820,1050.82,,15.72,No
137581,India,28,Andhra Pradesh,505,East Godavari,2017,Rally,0,0,,,,,,,,,,,,,,,,,,,,,,,No
137582,India,28,Andhra Pradesh,505,East Godavari,2017,Ramachandrapuram,16.83333333,82.03333333,,,,,,,,,,,,,,,,,,,,,,,No
137583,India,28,Andhra Pradesh,505,East Godavari,2017,Rampachodavaram,17.43333333,81.78333333,,,,,,,,,,,,,,,,,,,,,,,No
137584,India,28,Andhra Pradesh,505,East Godavari,2017,Rampachodavaram1,17.43333333,81.78333333,,,,,,,,,,,,,,,,,,,,,,,No
137585,India,28,Andhra Pradesh,505,East Godavari,2017,Rampachodavaram2,17.33333333,81.78333333,,,,,,,,,,,,,,,,,,,,,,,No
137586,India,28,Andhra Pradesh,505,East Godavari,2017,Rangampet,17.08888889,81.99166667,,,,,,,,,,,,,,,,,,,,,,,No
137587,India,28,Andhra Pradesh,505,East Godavari,2017,Razole,16.46,81.84166667,,,,,,,,,,,,,,,,,,,,,,,No
137588,India,28,Andhra Pradesh,505,East Godavari,2017,Razole-alt1,16.45972222,81.84138889,,,192,354,2806,1.32,,916,1.56,170.42,88,140,,,-17.16,2.5,138,,1180,750.82,,16.12,No
137589,India,28,Andhra Pradesh,505,East Godavari,2017,Repuru,0,0,,,,,,,,,,,,,,,,,,,,,,,No
137590,India,28,Andhra Pradesh,505,East Godavari,2017,Rowtulapudi,0,0,,,,,,,,,,,,,,,,,,,,,,,No
137591,India,28,Andhra Pradesh,505,East Godavari,2017,S. Agraharam,0,0,,,,,,,,,,,,,,,,,,,,,,,No
137592,India,28,Andhra Pradesh,505,East Godavari,2017,Sakhinetipalle,0,0,,,,,,,,,,,,,,,,,,,,,,,No
137593,India,28,Andhra Pradesh,505,East Godavari,2017,Samalkot,17.05416667,82.17916667,,,,,,,,,,,,,,,,,,,,,,,No
137594,India,28,Andhra Pradesh,505,East Godavari,2017,Samalkot-DW,17.04527778,82.16444444,,,148,120,1438,0.66,,696,5.4,43.94,6.2,104,,,0.8,2.72,28,,550,570.5,,15.46,No
137595,India,28,Andhra Pradesh,505,East Godavari,2017,Santhacheruvu 2012,16.95,82.23,,,172,164,1892,1.08,,768,13.2,61,48,150,,,-2.04,3.54,106,,680,629.5,,16.3,No
137596,India,28,Andhra Pradesh,505,East Godavari,2017,Sitapalli,17.35,81.83333333,,,96,42,904,1.16,,390,15.6,24.42,6.2,46,,,-0.8,1.54,50,,340,319.68,,16.12,No
137597,India,28,Andhra Pradesh,505,East Godavari,2017,Tallapolam-DW13,16.7825,82.07194444,,,212,248,3036,0.76,,1404,60,90.22,1.2,304,,,10.04,6.24,118,,900,1150.82,,16.36,No
137598,India,28,Andhra Pradesh,505,East Godavari,2017,Tallarevu,16.77361111,82.225,,,,,,,,,,,,,,,,,,,,,,,No
137599,India,28,Andhra Pradesh,505,East Godavari,2017,Tallarevu 2013DW,16.78277778,82.23027778,,96,216,1546,7356,1.04,,976,48,253.12,11.2,920,,,-24.8,14.24,442,,1580,960,,16.66,No
137600,India,28,Andhra Pradesh,505,East Godavari,2017,Tammayyapeta-DW13,17.25527778,82.37194444,,,,,,,,,,,,,,,,,,,,,,,No
137601,India,28,Andhra Pradesh,505,East Godavari,2017,Tetagunda-DW13,17.30694444,82.44277778,,,180,256,2212,0.96,,708,20,2.66,44,240,,,4.8,6.88,22,,460,580.32,,16.1,No
137602,India,28,Andhra Pradesh,505,East Godavari,2017,Thanelankapalli,16.65638889,82.12222222,,96,192,2354,10390,1.1,,1500,50,340.62,24,1426,,,-19.64,20.24,288,,1880,1389.5,,16.84,No
137603,India,28,Andhra Pradesh,505,East Godavari,2017,Thurpet-DW14,16.75305556,82.22888889,,60,152,128,1728,0.88,,780,26,24.5,1.24,200,,,10.36,5.62,14,,480,739.34,,16.72,No
137604,India,28,Andhra Pradesh,505,East Godavari,2017,Tuni,17.33333333,82.53333333,,,,,,,,,,,,,,,,,,,,,,,No
137605,India,28,Andhra Pradesh,505,East Godavari,2017,Tuni1,17.33333333,82.53333333,,,,,,,,,,,,,,,,,,,,,,,No
137606,India,28,Andhra Pradesh,505,East Godavari,2017,Tuni-alt2,17.33472222,82.53472222,,,248,426,2626,0.9,,708,30,58.66,42,170,,,-11.2,3.56,32,,860,580.32,,15.14,No
137607,India,28,Andhra Pradesh,505,East Godavari,2017,Uppada,17.08055556,82.3375,,,180,538,3692,0.6,,854,120,65.86,158,400,,,-0.8,9.18,144,,720,700,,16.34,No
137608,India,28,Andhra Pradesh,505,East Godavari,2017,Vakalpudi,17.025,82.29166667,,,204,226,3106,0.56,,1294,260,85.34,136,200,,,8,4.2,116,,860,1060.66,,16.24,No
137609,India,28,Andhra Pradesh,505,East Godavari,2017,Valasapakalu 2012,16.99444444,82.2625,,,,,,,,,,,,,,,,,,,,,,,No
137610,India,28,Andhra Pradesh,505,East Godavari,2017,Veerbhadrapuram-DW13,17.43833333,82.07527778,,,136,148,2242,1.4,,1160,11.8,141.18,28,160,,,1.24,3.24,88,,920,950.82,,16.38,No
137611,India,28,Andhra Pradesh,505,East Godavari,2017,Vegayammapeta,16.77916667,82.07916667,,,220,100,1802,0.62,,902,40,36.74,0,120,,,1.56,2.8,74,,700,739.34,,15.96,No
137612,India,28,Andhra Pradesh,505,East Godavari,2017,Velangi,0,0,,,,,,,,,,,,,,,,,,,,,,,No
137613,India,28,Andhra Pradesh,505,East Godavari,2017,Vilasa-DW14,16.61833333,82.01944444,,,184,134,1400,1.82,,500,28,14.82,74,80,,,-4.4,2.16,52,,520,409.84,,16.34,No
137614,India,28,Andhra Pradesh,505,East Godavari,2017,Yeleswaram1,17.275,82.1,,,,,,,,,,,,,,,,,,,,,,,No
137615,India,28,Andhra Pradesh,505,East Godavari,2018,Addateegala,17.47833333,82.01861111,,0,100,42,840,0.96,0,428,18,31.72,0.5,6,,0,-1.16,0.18,6,0,380,350.82,0,13.4,No
137616,India,28,Andhra Pradesh,505,East Godavari,2018,Ainavilli-DW14,16.66138889,82.01277778,,0,120,284,2900,0.86,0,1074,360,77.94,18.6,170,,0,10.4,4.2,146,0,620,880.32,0,15.7,No
137617,India,28,Andhra Pradesh,505,East Godavari,2018,Amalapuram,16.58305556,82.02833333,,,,,,,,,,,,,,,,,,,,,,,No
137618,India,28,Andhra Pradesh,505,East Godavari,2018,Amalapuram Pz,0,0,,,,,,,,,,,,,,,,,,,,,,,No
137619,India,28,Andhra Pradesh,505,East Godavari,2018,Ambajipeta-DW13,16.59388889,81.95055556,,,,,,,,,,,,,,,,,,,,,,,No
137620,India,28,Andhra Pradesh,505,East Godavari,2018,Anaparthy,16.94444444,81.96666667,,0,184,312,2140,0.64,0,634,46,53.72,50,150,,0,-6.4,3.54,66,0,680,519.68,0,14.92,No
137621,India,28,Andhra Pradesh,505,East Godavari,2018,Anjaneyanagar 2012,17.01388889,82.25,,,,,,,,,,,,,,,,,,,,,,,No
137622,India,28,Andhra Pradesh,505,East Godavari,2018,Annaipeta-DW13,16.78861111,82.21166667,,0,120,284,3460,1.3,0,1598,160,73.08,16,422,,0,28.4,10.6,4,0,600,1309.84,0,16,No
137623,India,28,Andhra Pradesh,505,East Godavari,2018,Annavaram,17.28,82.41,,,,,,,,,,,,,,,,,,,,,,,No
137624,India,28,Andhra Pradesh,505,East Godavari,2018,Annavaram-DW13,17.28222222,82.40388889,,,,,,,,,,,,,,,,,,,,,,,No
137625,India,28,Andhra Pradesh,505,East Godavari,2018,Antarvedi 2013DW,16.36722222,81.73333333,,0,192,2808,11480,0.64,0,976,100,253.1,38,1880,,0,-28.8,29.66,900,0,1520,800,0,15.22,No
137626,India,28,Andhra Pradesh,505,East Godavari,2018,Appanapalle,0,0,,,,,,,,,,,,,,,,,,,,,,,No
137627,India,28,Andhra Pradesh,505,East Godavari,2018,Badadanapalli,0,0,,,,,,,,,,,,,,,,,,,,,,,No
137628,India,28,Andhra Pradesh,505,East Godavari,2018,Bandurlanka,0,0,,,,,,,,,,,,,,,,,,,,,,,No
137629,India,28,Andhra Pradesh,505,East Godavari,2018,Bhanugudi 2012,16.97222222,82.23,,,,,,,,,,,,,,,,,,,,,,,No
137630,India,28,Andhra Pradesh,505,East Godavari,2018,Bhavugipet-DW13,17.20833333,81.84666667,,0,144,1616,7100,2.12,0,1318,10,496.16,26,522,,0,-52.8,6.56,154,0,2400,1080.32,0,15.1,No
137631,India,28,Andhra Pradesh,505,East Godavari,2018,Bikkavolu,16.96111111,82.04583333,,0,84,78,900,0.78,0,378,8,19.56,30,66,,0,0.8,2.38,3.8,0,290,309.84,0,14.96,No
137632,India,28,Andhra Pradesh,505,East Godavari,2018,Burugudipudi-DW13,17.12583333,81.83222222,,,,,,,,,,,,,,,,,,,,,,,No
137633,India,28,Andhra Pradesh,505,East Godavari,2018,Burugupudi-1,0,0,,,,,,,,,,,,,,,,,,,,,,,No
137634,India,28,Andhra Pradesh,505,East Godavari,2018,Chavitidibbalu,0,0,,,,,,,,,,,,,,,,,,,,,,,No
137635,India,28,Andhra Pradesh,505,East Godavari,2018,Chinalanka-DW13,16.59138889,81.95916667,,0,132,22,960,0.8,0,536,4,34.2,1.26,2,,0,-1.24,0.06,7.4,0,470,439.34,0,15.68,No
137636,India,28,Andhra Pradesh,505,East Godavari,2018,Chinna Ramanayapet-DW13,17.32361111,81.69722222,,,,,,,,,,,,,,,,,,,,,,,No
137637,India,28,Andhra Pradesh,505,East Godavari,2018,Chollangi-DW13,16.89194444,82.23916667,,0,208,1134,7220,2.08,0,1952,48,175.3,40,1058,,0,14.4,18.48,354,0,1240,1600,0,15.38,No
137638,India,28,Andhra Pradesh,505,East Godavari,2018,Delta gannavarm,16.68333333,81.85,,0,180,70,1600,0.82,0,842,6,73.16,0.64,18,,0,-2.4,0.4,7,0,750,690.16,0,15.72,No
137639,India,28,Andhra Pradesh,505,East Godavari,2018,Devipatnam,17.33333333,81.66666667,,,,,,,,,,,,,,,,,,,,,,,No
137640,India,28,Andhra Pradesh,505,East Godavari,2018,Dharmavaram,0,0,,,,,,,,,,,,,,,,,,,,,,,No
137641,India,28,Andhra Pradesh,505,East Godavari,2018,Dowalaiswaram -2,0,0,,,,,,,,,,,,,,,,,,,,,,,No
137642,India,28,Andhra Pradesh,505,East Godavari,2018,Dowalaiswaram -3,0,0,,,,,,,,,,,,,,,,,,,,,,,No
137643,India,28,Andhra Pradesh,505,East Godavari,2018,Dowalaiswaram -PZ1,16.92638889,81.78944444,,,,,,,,,,,,,,,,,,,,,,,No
137644,India,28,Andhra Pradesh,505,East Godavari,2018,Draksharamam,16.79166667,82.05833333,,,,,,,,,,,,,,,,,,,,,,,No
137645,India,28,Andhra Pradesh,505,East Godavari,2018,Draksharamam-DW14,16.79277778,82.06416667,,0,64,36,640,0.52,0,318,12,29.26,1.8,10.4,,0,-0.76,0.38,6.2,0,280,260.66,0,15.92,No
137646,India,28,Andhra Pradesh,505,East Godavari,2018,Dwarapudi-DW13,16.92722222,81.91666667,,,,,,,,,,,,,,,,,,,,,,,No
137647,India,28,Andhra Pradesh,505,East Godavari,2018,Eppanapadu,16.90555556,81.925,,,,,,,,,,,,,,,,,,,,,,,No
137648,India,28,Andhra Pradesh,505,East Godavari,2018,Fishing Horbour 2012,16.98333333,82.25833333,,0,384,3006,13560,1.38,0,1904,416,486.72,174,1510,,0,-56,17.08,794,0,2960,1560.66,0,14.76,No
137649,India,28,Andhra Pradesh,505,East Godavari,2018,Folkspeta-DW13,17.31388889,81.83972222,,0,128,482,4800,3.34,0,1660,8,262.74,226,452,,0,-1.6,7.44,160,0,1400,1360.66,0,15.76,No
137650,India,28,Andhra Pradesh,505,East Godavari,2018,Gangavaram,17.3875,81.91527778,,,,,,,,,,,,,,,,,,,,,,,No
137651,India,28,Andhra Pradesh,505,East Godavari,2018,Gangavaram1,17.3875,81.91527778,,,,,,,,,,,,,,,,,,,,,,,No
137652,India,28,Andhra Pradesh,505,East Godavari,2018,G. Kottapalli,0,0,,,,,,,,,,,,,,,,,,,,,,,No
137653,India,28,Andhra Pradesh,505,East Godavari,2018,Gokavaram,17.25,81.86666667,,,,,,,,,,,,,,,,,,,,,,,No
137654,India,28,Andhra Pradesh,505,East Godavari,2018,Gollaprolu,17.16666667,82.28333333,,0,240,624,4360,0.82,0,1122,230,107.26,180,390,,0,-4.8,7.44,222,0,1040,919.68,0,15.28,No
137655,India,28,Andhra Pradesh,505,East Godavari,2018,Gontuvanipalem 2013DW,17.35361111,82.11583333,,0,160,652,4720,2.16,0,1024,80,116.9,312,632,,0,-1.64,13.1,326,0,880,839.34,0,14.9,No
137656,India,28,Andhra Pradesh,505,East Godavari,2018,Gurajanpalle,16.89166667,82.23333333,,,,,,,,,,,,,,,,,,,,,,,No
137657,India,28,Andhra Pradesh,505,East Godavari,2018,Hamsavaram-DW13,17.29111111,82.49305556,,,,,,,,,,,,,,,,,,,,,,,No
137658,India,28,Andhra Pradesh,505,East Godavari,2018,Indrapalem 2012,16.96666667,82.21944444,,,,,,,,,,,,,,,,,,,,,,,No
137659,India,28,Andhra Pradesh,505,East Godavari,2018,Jaddangi,17.46666667,82.16666667,,,,,,,,,,,,,,,,,,,,,,,No
137660,India,28,Andhra Pradesh,505,East Godavari,2018,Jaddangi-alt,17.46805556,82.16805556,,,,,,,,,,,,,,,,,,,,,,,No
137661,India,28,Andhra Pradesh,505,East Godavari,2018,Jaderu,0,0,,,,,,,,,,,,,,,,,,,,,,,No
137662,India,28,Andhra Pradesh,505,East Godavari,2018,Jaggampeta,17.17166667,82.04666667,,,,,,,,,,,,,,,,,,,,,,,No
137663,India,28,Andhra Pradesh,505,East Godavari,2018,Jaggampet-alt,17.17166667,82.04666667,,,,,,,,,,,,,,,,,,,,,,,No
137664,India,28,Andhra Pradesh,505,East Godavari,2018,Jaldam,0,0,,,,,,,,,,,,,,,,,,,,,,,No
137665,India,28,Andhra Pradesh,505,East Godavari,2018,Jonnada,16.775,81.88333333,,0,176,538,3620,1.06,0,1256,18,243.34,12,156,,0,-16.44,2.52,8,0,1440,1029.5,0,14.6,No
137666,India,28,Andhra Pradesh,505,East Godavari,2018,Kakinada,16.95138889,82.23194444,,,,,,,,,,,,,,,,,,,,,,,No
137667,India,28,Andhra Pradesh,505,East Godavari,2018,Kakinada-ii,16.95,82.2375,,0,176,766,5720,0.7,0,1268,190,165.54,332,686,,0,-3.24,12.62,448,0,1120,1039.34,0,15.54,No
137668,India,28,Andhra Pradesh,505,East Godavari,2018,Kakinada-Pz,16.98305556,82.24638889,,84,4,234,1620,0.88,0,330,18,34.04,6,290,,0,10.4,14.56,60,0,150,410.5,0,17.12,No
137669,India,28,Andhra Pradesh,505,East Godavari,2018,Kattipudi,17.24222222,82.33388889,,,,,,,,,,,,,,,,,,,,,,,No
137670,India,28,Andhra Pradesh,505,East Godavari,2018,Kattipudi1,17.24222222,82.33388889,,,,,,,,,,,,,,,,,,,,,,,No
137671,India,28,Andhra Pradesh,505,East Godavari,2018,Kesavaram-DW13,16.93388889,81.8825,,0,64,134,1340,0.54,0,354,120,34.12,72,98,,0,-0.4,3.48,124,0,300,290.16,0,15.44,No
137672,India,28,Andhra Pradesh,505,East Godavari,2018,Kolamuru,0,0,,,,,,,,,,,,,,,,,,,,,,,No
137673,India,28,Andhra Pradesh,505,East Godavari,2018,Kolamuru 2013DW,17.17694444,81.68861111,,,,,,,,,,,,,,,,,,,,,,,No
137674,India,28,Andhra Pradesh,505,East Godavari,2018,Komaragiri-DW14,16.69638889,82.18055556,,0,168,538,3680,2.04,0,1244,50,199.58,8.6,246,,0,-8.84,4.3,46,0,1240,1019.68,0,14.4,No
137675,India,28,Andhra Pradesh,505,East Godavari,2018,Korangi 2013DW,16.97305556,81.78472222,,0,224,992,5960,0.74,0,1172,160,204.5,126,632,,0,-17.6,10.4,490,0,1400,960.66,0,14.8,No
137676,India,28,Andhra Pradesh,505,East Godavari,2018,Korukonda,17.16666667,81.83333333,,,,,,,,,,,,,,,,,,,,,,,No
137677,India,28,Andhra Pradesh,505,East Godavari,2018,Kotananduru-DW13,17.48555556,82.49611111,,,,,,,,,,,,,,,,,,,,,,,No
137678,India,28,Andhra Pradesh,505,East Godavari,2018,Kotapadu 2013DW,17.08833333,82.025,,,,,,,,,,,,,,,,,,,,,,,No
137679,India,28,Andhra Pradesh,505,East Godavari,2018,Kothapeta -1,0,0,,,,,,,,,,,,,,,,,,,,,,,No
137680,India,28,Andhra Pradesh,505,East Godavari,2018,Kothapeta -2,0,0,,,,,,,,,,,,,,,,,,,,,,,No
137681,India,28,Andhra Pradesh,505,East Godavari,2018,Kothapeta -3,0,0,,,,,,,,,,,,,,,,,,,,,,,No
137682,India,28,Andhra Pradesh,505,East Godavari,2018,Kothapeta-DW13,16.71583333,81.91611111,,,,,,,,,,,,,,,,,,,,,,,No
137683,India,28,Andhra Pradesh,505,East Godavari,2018,Kotipalle,0,0,,,,,,,,,,,,,,,,,,,,,,,No
137684,India,28,Andhra Pradesh,505,East Godavari,2018,Kotipalli -alt,16.70833333,82.025,,,,,,,,,,,,,,,,,,,,,,,No
137737,India,28,Andhra Pradesh,505,East Godavari,2018,Uppada,17.08055556,82.3375,,0,104,114,1320,0.64,0,536,44,41.46,32,76,,0,0.36,2.26,32,0,430,439.34,0,15.6,No
137685,India,28,Andhra Pradesh,505,East Godavari,2018,Kovvuru-DW13,17.0025,81.74166667,,0,160,56,1206,0.56,0,646,26,29.38,5,46,,0,0.36,1.24,20,0,520,529.5,0,15.52,No
137686,India,28,Andhra Pradesh,505,East Godavari,2018,Lagarai-DW14,17.57527778,82.19555556,,0,80,170,1520,0.6,0,292,38,73.04,226,98,,0,-10.44,2.7,92,0,500,239.34,0,15.62,No
137687,India,28,Andhra Pradesh,505,East Godavari,2018,Malikipuram 2013DW,16.80138889,81.8,,0,132,114,1660,0.96,0,768,70,60.94,11.6,74,,0,1.96,1.9,28,0,580,629.5,0,15.56,No
137688,India,28,Andhra Pradesh,505,East Godavari,2018,Mallavaram Mammilu-DW14,17.5025,82.01472222,,0,16,28,500,0.66,0,196,24,34.06,24,18.2,,0,-0.76,0.84,26,0,180,160.66,0,15.9,No
137689,India,28,Andhra Pradesh,505,East Godavari,2018,Maredumilli,17.525,81.74166667,,0,112,178,1500,0.58,0,440,30,58.48,122,86,,0,-6.36,2.32,38,0,520,360.66,0,14.7,No
137690,India,28,Andhra Pradesh,505,East Godavari,2018,Mobalacheruvu-DW14,16.61638889,82.07333333,,0,176,170,2080,0.98,0,952,20,97.46,16.4,80,,0,-2.4,1.7,4,0,840,780.32,0,14.98,No
137691,India,28,Andhra Pradesh,505,East Godavari,2018,Mukteshwaram-DW14,16.66027778,82.02444444,,,,,,,,,,,,,,,,,,,,,,,No
137692,India,28,Andhra Pradesh,505,East Godavari,2018,Mummadivaram,16.64027778,82.11194444,,,,,,,,,,,,,,,,,,,,,,,No
137693,India,28,Andhra Pradesh,505,East Godavari,2018,Mummidivarampad,16.7,81.85,,0,176,298,3000,1.2,0,1282,60,126.64,22,212,,0,3.64,4.2,8.2,0,960,1050.82,0,15.46,No
137694,India,28,Andhra Pradesh,505,East Godavari,2018,Munganda Pz,0,0,,,,,,,,,,,,,,,,,,,,,,,No
137695,India,28,Andhra Pradesh,505,East Godavari,2018,Muramalla 2013DW,16.67277778,82.15166667,,0,64,1644,8080,1.46,0,1562,24,223.76,30,1346,,0,8,25.2,392,0,1080,1280.32,0,15.12,No
137696,India,28,Andhra Pradesh,505,East Godavari,2018,Panduru Junction1,17.05,82.25,,,,,,,,,,,,,,,,,,,,,,,No
137697,India,28,Andhra Pradesh,505,East Godavari,2018,Pattipadu,17.22916667,82.19583333,,0,144,1162,7300,1.98,0,1610,2,321.1,118,904,,0,-14.44,13.56,560,0,1680,1319.68,0,14.92,No
137698,India,28,Andhra Pradesh,505,East Godavari,2018,Peddapuram,17.08055556,82.12638889,,,,,,,,,,,,,,,,,,,,,,,No
137699,India,28,Andhra Pradesh,505,East Godavari,2018,Peddapuram -2,0,0,,,,,,,,,,,,,,,,,,,,,,,No
137700,India,28,Andhra Pradesh,505,East Godavari,2018,Pithapuram,17.11111111,82.2625,,0,112,284,3080,1.2,0,1196,380,73.08,52,214,,0,16,5.46,110,0,580,980.32,0,15.82,No
137701,India,28,Andhra Pradesh,505,East Godavari,2018,Pithapuram-DW13,16.40833333,81.79444444,,0,116,114,1100,0.64,0,452,8,43.9,28,32,,0,-4,0.9,15,0,470,370.5,0,15.76,No
137702,India,28,Andhra Pradesh,505,East Godavari,2018,Polavaram D-DW13,17.42861111,82.52555556,,,,,,,,,,,,,,,,,,,,,,,No
137703,India,28,Andhra Pradesh,505,East Godavari,2018,P Yerragonda-DW14,17.65916667,81.95111111,,0,132,156,1260,0.7,0,354,20,56.08,60,20,,0,-10.8,0.52,66,0,560,290.16,0,15.2,No
137704,India,28,Andhra Pradesh,505,East Godavari,2018,Rajahmundry,17,81.78055556,,,,,,,,,,,,,,,,,,,,,,,No
137705,India,28,Andhra Pradesh,505,East Godavari,2018,Rajahmundry DW12,17,81.78055556,,,,,,,,,,,,,,,,,,,,,,,No
137706,India,28,Andhra Pradesh,505,East Godavari,2018,Rajanagaram,17.07916667,81.90416667,,,,,,,,,,,,,,,,,,,,,,,No
137707,India,28,Andhra Pradesh,505,East Godavari,2018,Rajavamangi,17.55,82.23333333,,,,,,,,,,,,,,,,,,,,,,,No
137708,India,28,Andhra Pradesh,505,East Godavari,2018,Rajavommangi-alt,17.55,82.23333333,,,,,,,,,,,,,,,,,,,,,,,No
137709,India,28,Andhra Pradesh,505,East Godavari,2018,Rajmundry Main road 2013DW,17.05805556,81.80444444,,,,,,,,,,,,,,,,,,,,,,,No
137710,India,28,Andhra Pradesh,505,East Godavari,2018,Rajmundry Swarajyanagar 2013DW,16.99166667,81.77777778,,0,184,340,2640,0.66,0,928,4,82.88,11.2,234,,0,-1.56,5.08,66,0,800,760.66,0,14.8,No
137711,India,28,Andhra Pradesh,505,East Godavari,2018,Rally,0,0,,,,,,,,,,,,,,,,,,,,,,,No
137712,India,28,Andhra Pradesh,505,East Godavari,2018,Ramachandrapuram,16.83333333,82.03333333,,,,,,,,,,,,,,,,,,,,,,,No
137713,India,28,Andhra Pradesh,505,East Godavari,2018,Rampachodavaram,17.43333333,81.78333333,,,,,,,,,,,,,,,,,,,,,,,No
137714,India,28,Andhra Pradesh,505,East Godavari,2018,Rampachodavaram1,17.43333333,81.78333333,,,,,,,,,,,,,,,,,,,,,,,No
137715,India,28,Andhra Pradesh,505,East Godavari,2018,Rampachodavaram2,17.33333333,81.78333333,,,,,,,,,,,,,,,,,,,,,,,No
137716,India,28,Andhra Pradesh,505,East Godavari,2018,Rangampet,17.08888889,81.99166667,,,,,,,,,,,,,,,,,,,,,,,No
137717,India,28,Andhra Pradesh,505,East Godavari,2018,Razole,16.46,81.84166667,,,,,,,,,,,,,,,,,,,,,,,No
137718,India,28,Andhra Pradesh,505,East Godavari,2018,Razole-alt1,16.45972222,81.84138889,,0,96,22,840,1.04,0,464,4,39.02,0.4,6,,0,-0.8,0.18,6.4,0,400,380.32,0,15.4,No
137719,India,28,Andhra Pradesh,505,East Godavari,2018,Repuru,0,0,,,,,,,,,,,,,,,,,,,,,,,No
