ROWID,Country,State LGD Code,State,District LGD Code,District,Year,Ground Water Station Name,Ground Water Station Latitude,Ground Water Station Longitude,Amount of Arsenic,Amount of carbonate,Amount of Calcium,Amount of Chloride,Amount of Electrical Conductivity,Amount of Fluorine,Amount of Iron,Amount of Hydrogencarbonate,Amount of Potassium,Amount of Magnesium,Amount of Nitrate,Amount of Sodium,Percentage of Sodium,Amount of Phosphate Ion,Amount of Residual Sodium Carbonate,Amount of Sodium absorption ratio,Amount of Sulfate,Amount of Silicon dioxide,Amount of Hardness Total,Amount of Alkalinity Total,Amount of Total Dissolved Solids,Amount of Potential of Hydrogen,Mark for Deletion
134892,India,28,Andhra Pradesh,502,Anantapur,2011,Madakasira1,13.95833333,77.24166667,,,88,206,1550,0.37,,348,47,23.2,149,184,,,,4.51,77,,315,285.3,,7.97,No
134893,India,28,Andhra Pradesh,502,Anantapur,2011,Malakavemula-rs,14.27,78.0575,,,26,103,1080,1.5,,354,1,65.68,60,97,,,,2.31,58,,335,290.2,,8.02,No
134894,India,28,Andhra Pradesh,502,Anantapur,2011,Mamillakunta,14.16666667,77.75833333,,,,,,,,,,,,,,,,,,,,,,,No
134895,India,28,Andhra Pradesh,502,Anantapur,2011,Mudigubba,14.35138889,78,,,,,,,,,,,,,,,,,,,,,,,No
134896,India,28,Andhra Pradesh,502,Anantapur,2011,Muthyalacherevu Poolabhavi-DW14,14.1,78.1,,,,,,,,,,,,,,,,,,,,,,,No
134897,India,28,Andhra Pradesh,502,Anantapur,2011,Nallacheruvu,13.98611111,78.18888889,,,,,,,,,,,,,,,,,,,,,,,No
134898,India,28,Andhra Pradesh,502,Anantapur,2011,Nallacheruvu 2013DW,13.98722222,78.18777778,,,,,,,,,,,,,,,,,,,,,,,No
134899,India,28,Andhra Pradesh,502,Anantapur,2011,Narpala,14.71,77.81166667,,,,,,,,,,,,,,,,,,,,,,,No
134900,India,28,Andhra Pradesh,502,Anantapur,2011,Narpala (sultanpet).,14.70583333,77.82222222,,,,,,,,,,,,,,,,,,,,,,,No
134901,India,28,Andhra Pradesh,502,Anantapur,2011,Narpala(sultanpet).1,14.70583333,77.82222222,,,120,702,3226,0.97,,268,27,146.27,100,322,,,,4.67,326,,901,219.7,,7.28,No
134902,India,28,Andhra Pradesh,502,Anantapur,2011,Nilakanthapuram,13.91666667,77.2,,,44,206,1336,1.2,,305,1,74.21,120,147,,,,3.14,96,,415,250,,7.78,No
134903,India,28,Andhra Pradesh,502,Anantapur,2011,Nimbigallu,14.89166667,77.20833333,,,,,,,,,,,,,,,,,,,,,,,No
134904,India,28,Andhra Pradesh,502,Anantapur,2011,N.R.Roppam-Ow-Ii-Aq-Ii,0,0,,,,,,,,,,,,,,,,,,,,,,,No
134905,India,28,Andhra Pradesh,502,Anantapur,2011,Palaram 2013DW,13.95666667,77.10833333,,,,,,,,,,,,,,,,,,,,,,,No
134906,India,28,Andhra Pradesh,502,Anantapur,2011,Palasamudram,13.97277778,77.73138889,,,50,188,1820,0.78,,604,164,14.65,100,244,,,12.4,7.8,75,,185,495.1,,8.12,No
134907,India,28,Andhra Pradesh,502,Anantapur,2011,Pargi,13.89166667,77.46166667,,,,,,,,,,,,,,,,,,,,,,,No
134908,India,28,Andhra Pradesh,502,Anantapur,2011,Patakothacheruv,15.15833333,77.51166667,,,,,,,,,,,,,,,,,,,,,,,No
134909,India,28,Andhra Pradesh,502,Anantapur,2011,Pedapalli 2013DW,14.06388889,77.77444444,,,,,,,,,,,,,,,,,,,,,,,No
134910,India,28,Andhra Pradesh,502,Anantapur,2011,Penukonda,14.07222222,77.58166667,,,20,181,1710,1.2,,598,12,37.71,100,317,,,11.4,9.63,83,,205,490.2,,7.95,No
134911,India,28,Andhra Pradesh,502,Anantapur,2011,Penukonda-Pz,0,0,,,,,,,,,,,,,,,,,,,,,,,No
134912,India,28,Andhra Pradesh,502,Anantapur,2011,Poolakunta 2013DW,14.62666667,77.69916667,,,,,,,,,,,,,,,,,,,,,,,No
134913,India,28,Andhra Pradesh,502,Anantapur,2011,Puttaparti-alt,14.16861111,77.81166667,,,,,,,,,,,,,,,,,,,,,,,No
