ROWID,Country,StateLGDCode,State,DistrictLGDCode,District,Year,OBJECTID *,OBJECTID *,Ground Water Station Name,y,x,Amount of Arsenic,Amount of carbonate,Amount of Calcium,Amount of Chloride,Amount of Electrical Conductivity,Amount of Fluorine,Amount of Iron,Amount of Hydrogencarbonate,Amount of Potassium,Amount of Magnesium,Amount of Nitrate,Amount of Sodium,Percentage of Sodium,Amount of Phosphate Ion,Amount of Residual Sodium Carbonate,Amount of Sodium absorption ratio,Amount of Sulfate,Amount of Silicon dioxide,Amount of Hardness Total,Amount of Alkalinity Total,Amount of Total Dissolved Solids,Amount of Potential of Hydrogen,Mark for Deletion
135001,India,28,Andhra Pradesh,502,Anantapur,2013,843,1041,Batrepally 2013DW,14.250833,78.180278, , ,32,163,1373,1.6, ,378,14,46.23,23,185, ,  ,1.6,4.9,118, ,270,309.8, ,8,No
135002,India,28,Andhra Pradesh,502,Anantapur,2013,844,1042,Bontula Dinne,14.841667,78.093333, ,  ,42,241,1876,0.55, ,366,7,35.31,31,305, ,  ,2,8.39,240, ,250,300, ,7.94,No
135004,India,28,Andhra Pradesh,502,Anantapur,2013,846,1044,Budipalli,13.966667,77.166667, , ,26,128,1060,4.25, ,311,1,24.34,39,170, ,  ,3.6,5.76,48, ,165,254.9, ,8.04,No
135008,India,28,Andhra Pradesh,502,Anantapur,2013,850,1048,Dharmavaram,14.411667,77.72,  , ,88,496,2394,0.6, ,238,5,63.32,166,331,, , ,6.57,142, ,480,195.1, ,7.75,No
135009,India,28,Andhra Pradesh,502,Anantapur,2013,851,1049,Gooty-alt,15.116667,77.643056, , ,48,355,2129,0.03, ,634,150,55.98,26,250, ,  ,6.78,5.81,38, ,350,519.7, ,7.98,No
135010,India,28,Andhra Pradesh,502,Anantapur,2013,852,1050,Gorantla,13.983333,77.766667, , ,24,53,786,3.83, ,293,2,24.34,24,106, , ,3.2,3.65,36, ,160,240.2, ,8.17,No
135011,India,28,Andhra Pradesh,502,Anantapur,2013,853,1051,Govinavaripalli,13.975,77.877778, ,  ,18,53,788,2.4, ,372,,20.69,8,132, , ,7,5.04,23, ,130,304.9, ,8.13,No
135015,India,28,Andhra Pradesh,502,Anantapur,2013,857,1055,Guntakal2,15.168056,77.376389, , ,40,347,2410,0.29, ,360,270,55.97,220,244, , , ,5.84,141, ,330,295.1, ,7.99,No
135016,India,28,Andhra Pradesh,502,Anantapur,2013,858,1056,Ingaluru,14.047222,78.038889, ,18,92,369,2654,0.31, ,714,300,48.74,99,260, , ,7.4,5.45,131, ,430,615.3, ,8.37,No
135019,India,28,Andhra Pradesh,502,Anantapur,2013,860,1059,Kalyandurg-alt,14.546667,77.11, ,12,14,124,1593,4.68, ,695,9,19.47,5,330, , ,18.98,13.39,55, ,115,589.7, ,8.44,No
135025,India,28,Andhra Pradesh,502,Anantapur,2013,863,1065,Korrapadu,14.753333,77.713333, , ,38,43,593,0.82, ,250,2,26.79,12,50, , ,0,1.52,25, ,205,204.9, ,7.94,No
135026,India,28,Andhra Pradesh,502,Anantapur,2013,864,1066,Kothapalem,13.883333,77.133333, , ,88,167,1197,1.22, ,293,20,25.64,68,110, , , ,2.65,53, ,325,240.2, ,8.15,No
135032,India,28,Andhra Pradesh,502,Anantapur,2013,869,1072,Madakasira1,13.958333,77.241667, , ,60,216,1531,0.43, ,366,41,24.39,84,207, , ,2,5.69,73, ,250,300, ,7.95,No
135033,India,28,Andhra Pradesh,502,Anantapur,2013,870,1073,Malakavemula-rs,14.27,78.0575, , ,46,92,1008,0.49, ,293,,70.56,102,50, , , ,1.08,43, ,405,240.2, ,7.71,No
135034,India,28,Andhra Pradesh,502,Anantapur,2013,871,1074,Mamillakunta,14.166667,77.758333, , ,62,195,1350,0.71, ,171,6,35.33,176,150, , , ,3.77,64, ,300,140.2, ,7.75,No
135038,India,28,Andhra Pradesh,502,Anantapur,2013,875,1078,Nallacheruvu 2013DW,13.987222,78.187778, , ,42,64,972,1.08, ,354,2,43.81,47,89, , ,0.2,2.29,49, ,285,290.2, ,7.84,No
135041,India,28,Andhra Pradesh,502,Anantapur,2013,878,1081,Narpala(sultanpet).1,14.705833,77.822222, , ,34,110,1084,2, ,348,,59.61,33,105, , , ,2.51,76, ,330,285.3, ,8,No
135042,India,28,Andhra Pradesh,502,Anantapur,2013,879,1082,Nilakanthapuram,13.916667,77.2, ,  ,38,223,1205,1.9, ,226,2,36.52,9,156, , , ,4.34,68, ,245,185.3, ,7.87,No
135045,India,28,Andhra Pradesh,502,Anantapur,2013,881,1085,Palaram 2013DW,13.956667,77.108333, , ,48,503,2268,0.95, ,311,14,60.84,6,330, , , ,7.46,122, ,370,254.9, ,7.73,No
135046,India,28,Andhra Pradesh,502,Anantapur,2013,882,1086,Palasamudram,13.972778,77.731389, ,24,42,312,2410,0.18, ,677,220,64.48,129,280, , ,9,6.33,96, ,370,594.9, ,8.41,No
135049,India,28,Andhra Pradesh,502,Anantapur,2013,885,1089,Pedapalli 2013DW,14.063889,77.774444, , ,196,482,2370,1.12, ,146,4,80.71,220,150, , , ,2.28,144, ,821,119.7, ,7.34,No
135050,India,28,Andhra Pradesh,502,Anantapur,2013,886,1090,Penukonda,14.072222,77.581667, , ,18,230,1922,1.18, ,519,7,47.43,147,330, , ,7.42,9.27,78, ,240,425.4, ,8.22,No
135052,India,28,Andhra Pradesh,502,Anantapur,2013,887,1092,Poolakunta 2013DW,14.626667,77.699167, , ,80,110,1324,1.65, ,207,2,56.02,188,100, , , ,2.1,155, ,430,169.7, ,7.69,No
135054,India,28,Andhra Pradesh,502,Anantapur,2013,889,1094,Rayadurg-new,14.7,76.85, , ,64,138,1093, , ,195,8,9.8,93,142, , , ,4.37,40, ,200,159.8, ,8.25,No
135056,India,28,Andhra Pradesh,502,Anantapur,2013,891,1096,Reddipalli,14.216667,78, , ,52,238,1800,3.11, ,299,19,36.53,37,270, , , ,7.02,222, ,280,245.1, ,7.84,No
135057,India,28,Andhra Pradesh,502,Anantapur,2013,892,1097,Rolla,13.85,77.1, , ,30,92,938,0.8, ,311,3,40.15,19,108, , ,0.6,3.03,36, ,240,254.9, ,8,No
135060,India,28,Andhra Pradesh,502,Anantapur,2013,895,1100,Tanakal1,13.920833,78.1875, , ,140,397,2295,1.48, ,232,15,85.51,152,210, , , ,3.45,274, ,701,190.2, ,7.65,No
135064,India,28,Andhra Pradesh,502,Anantapur,2013,899,1104,Vajrakarur,15.008333,77.416667, , ,136,117,1776,0.74, ,366,1,56.09,110,165, , , ,3.01,354, ,570,300, ,7.75,No
135065,India,28,Andhra Pradesh,502,Anantapur,2013,900,1105,Waddipalli,14.671667,77.458333, , ,40,277,2057,1.41, ,592,33,55.97,80,325, , ,6.2,7.78,120, ,330,485.3, ,7.94,No
135067,India,28,Andhra Pradesh,502,Anantapur,2014,902,1107,Adivi Brahmanapalli,14.353333,78.0375, , ,40,121,1640,2.02, ,512,3,77.85,233,182, , ,-0.02,3.86,41, ,420,419.67, ,7,No
135068,India,28,Andhra Pradesh,502,Anantapur,2014,903,1108,Alampur,14.191667,78.163889, , ,48,199,1490,3.17, ,476,5,49.9,12,190, , ,2.6,4.58,63, ,325,390.16, ,7.62,No
135069,India,28,Andhra Pradesh,502,Anantapur,2014,904,1109,Amidala,14.841667,77.25, , ,168,418,2250,0.49, ,244,3,65.85,10,198, , ,-19.6,3.28,312, ,690,200, ,7.81,No
135071,India,28,Andhra Pradesh,502,Anantapur,2014,906,1111,Batrepally 2013DW,14.250833,78.180278, , ,116,333,2200,0.71, ,488,11,85.24,160,205, , ,-9.6,3.52,97, ,640,400, ,7.26,No
135073,India,28,Andhra Pradesh,502,Anantapur,2014,908,1113,Bontula Dinne1,14.841667,78.093333, , ,196,454,2570,0.42, ,220,28,70.75,294,216, , ,-23.98,3.36,217, ,780,180.33, ,7.34,No
135074,India,28,Andhra Pradesh,502,Anantapur,2014,909,1114,Budipalli,13.966667,77.166667, , ,94,195,1690,1.18, ,659,150,43.88,34,110, , ,5,2.35,3, ,415,540.16, ,7.83,No
135077,India,28,Andhra Pradesh,502,Anantapur,2014,912,1117,D.cheruvu,14.079167,78.355556, , ,74,78,1000,1.5, ,439,9,38.99,36,66, , ,0.6,1.55,1, ,345,359.84, ,8.04,No
135078,India,28,Andhra Pradesh,502,Anantapur,2014,913,1118,Dharmavaram,14.411667,77.72, , ,74,227,1680,0.96, ,494,5,45.07,81,213, , ,1.4,4.82,48, ,370,404.92, ,7.74,No
135081,India,28,Andhra Pradesh,502,Anantapur,2014,916,1121,Govinavaripalli,13.975,77.877778, , ,34,16,560,1.62, ,296,2,13.41,13,63, , ,4.1,2.32,4, ,140,242.62, ,8.08,No
135085,India,28,Andhra Pradesh,502,Anantapur,2014,920,1125,Guntakal2,15.168056,77.376389, , ,116,425,3300,0.27, ,464,450,75.51,478,219, , ,-8.78,3.89,272, ,600,380.33, ,7.67,No
135086,India,28,Andhra Pradesh,502,Anantapur,2014,921,1126,Ingaluru,14.047222,78.038889, ,  ,72,291,2340,0.44, ,610,260,56.01,134,197, , ,3.6,4.23,146, ,410,500, ,7.88,No
135089,India,28,Andhra Pradesh,502,Anantapur,2014,923,1129,Kalyandurg-alt,14.546667,77.11, , ,30,103,1390,4.03, ,647,1,32.86,19,222, , ,12.8,6.66,4, ,210,530.33, ,8.02,No
135092,India,28,Andhra Pradesh,502,Anantapur,2014,924,1132,Kanchisamudram-DW13,13.8,77.608333, , ,156,333,2230,1, ,305,13,51.25,268,229, , ,-14,4.07,171, ,600,250, ,7.24,No
135095,India,28,Andhra Pradesh,502,Anantapur,2014,926,1135,Korrapadu,14.753333,77.713333, ,126,36,85,1050,0.89, ,122,79,34.08,11,89, , ,3.2,2.55,82, ,230,310, ,8.44,No
135096,India,28,Andhra Pradesh,502,Anantapur,2014,927,1136,Kothapalem,13.883333,77.133333, , ,104,195,1400,0.98, ,336,48,35.38,121,107, , ,-5.18,2.31,50, ,405,275.41, ,7.46,No
135102,India,28,Andhra Pradesh,502,Anantapur,2014,932,1142,Madakasira1,13.958333,77.241667, , ,94,220,1600,0.44, ,403,40,26.86,149,186, , ,-0.58,4.36,38, ,345,330.33, ,8.02,No
135103,India,28,Andhra Pradesh,502,Anantapur,2014,933,1143,Malakavemula-rs,14.27,78.0575, , ,84,131,1270,1.15, ,519,2,63.32,25,75, , ,-1.78,1.5,4, ,470,425.41, ,7.74,No
135104,India,28,Andhra Pradesh,502,Anantapur,2014,934,1144,Mamillakunta,14.166667,77.758333, , ,120,284,2110,0.61, ,268,8,60.93,356,227, , ,-13.22,4.21,142, ,550,219.67, ,7.24,No
135108,India,28,Andhra Pradesh,502,Anantapur,2014,938,1148,Nallacheruvu 2013DW,13.987222,78.187778, , ,29,41,720,1.91, ,247,2,26.17,58,82, , ,0.9,2.66,51, ,180,202.46, ,7.92,No
135111,India,28,Andhra Pradesh,502,Anantapur,2014,941,1151,Narpala(sultanpet).1,14.705833,77.822222, , ,72,269,1910,1.7, ,494,25,86.4,102,178, , ,-5.2,3.35,84, ,535,404.92, ,7.45,No
